;data_type
id_log;int64
aluno;int64
grupo;int64
num_dia;int64
num_log;int64
log_type;object
ultimo_passo_correto;int64
verificado_com_mouse;int64
verificado_com_teclado;int64
idle_time_acumulado;int64
num_click_acumulado;int64
num_click_passo;int64
num_click_eq;int64
type_step_verification;int64
type_click;int64
type_typing;int64
type_mouse_stop;int64
type_mouse_fast;int64
type_hint_request;int64
type_user_idle;int64
type_window_lost_focus;int64
type_window_gained_focus;int64
type_window_resize;int64
type_left_window;int64
type_entered_window;int64
type_start_out_of_sinc_server_time;int64
type_user_log_out;int64
click_resolucao;int64
click_planos;int64
click_atalhos;int64
click_bugs;int64
click_gamificacao;int64
click_dicas;int64
click_erros;int64
click_notificacoes;int64
click_sistema;int64
click_emocoes;int64
click_indefinidos;int64
pontuacao;int64
cat_muito_facil;int64
cat_facil_1;int64
cat_facil_2;int64
cat_facil_3;int64
cat_facil_4;int64
cat_medio_1;int64
cat_medio_2;int64
cat_medio_3;int64
cat_dificil_1;int64
cat_dificil_2;int64
cat_dificil_3;int64
cat_dificil_4;int64
num_passos_equacao;int64
num_passos_errados_eq;int64
num_passos_errados_seguidos_eq;int64
num_passos_corretos_eq;int64
efetividade_passos_eq;float64
tempo_equacao;int64
tempo_passo;int64
tempo_medio_eq_diario;float64
tempo_medio_passo_diario;float64
num_passos_diario;int64
num_passos_corretos_diario;int64
num_passos_errados_diario;int64
num_equacoes_resolvidas_diario;int64
efetividade_passos_eq_diario;float64
tempo_medio_eq_diario_turma;float64
tempo_medio_passo_diario_turma;float64
media_num_passos_diario_turma;float64
media_num_passos_corretos_diario_turma;float64
media_num_passos_errados_diario_turma;float64
media_num_equacoes_resolvidas_diario_turma;float64
media_efetividade_passos_eq_turma;float64
tempo_medio_eq_total;float64
tempo_medio_passo_total;float64
num_passos_total;int64
num_passos_corretos_total;int64
num_passos_errados_total;int64
num_equacoes_resolvidas_total;int64
efetividade_passos_eq_total;float64
tempo_medio_eq_total_turma;float64
tempo_medio_passo_total_turma;float64
media_num_passos_total_turma;float64
media_num_passos_corretos_total_turma;float64
media_num_passos_errados_total_turma;float64
media_num_equacoes_resolvidas_total_turma;float64
media_efetividade_passos_eq_total_turma;float64
eq_AD;int64
eq_AF;int64
eq_DM;int64
eq_DV;int64
eq_MF;int64
eq_MM;int64
eq_MT;int64
eq_OI;int64
eq_SB;int64
eq_SP;int64
eq_AD_acerto_clip;int64
eq_AF_acerto_clip;int64
eq_DM_acerto_clip;int64
eq_DV_acerto_clip;int64
eq_MF_acerto_clip;int64
eq_MM_acerto_clip;int64
eq_MT_acerto_clip;int64
eq_OI_acerto_clip;int64
eq_SB_acerto_clip;int64
eq_SP_acerto_clip;int64
eq_AD_acerto_diario;int64
eq_AF_acerto_diario;int64
eq_DM_acerto_diario;int64
eq_DV_acerto_diario;int64
eq_MF_acerto_diario;int64
eq_MM_acerto_diario;int64
eq_MT_acerto_diario;int64
eq_OI_acerto_diario;int64
eq_SB_acerto_diario;int64
eq_SP_acerto_diario;int64
eq_AD_acerto_total;int64
eq_AF_acerto_total;int64
eq_DM_acerto_total;int64
eq_DV_acerto_total;int64
eq_MF_acerto_total;int64
eq_MM_acerto_total;int64
eq_MT_acerto_total;int64
eq_OI_acerto_total;int64
eq_SB_acerto_total;int64
eq_SP_acerto_total;int64
eq_AD_acerto_medio_diario_turma;float64
eq_AF_acerto_medio_diario_turma;float64
eq_DM_acerto_medio_diario_turma;float64
eq_DV_acerto_medio_diario_turma;int64
eq_MF_acerto_medio_diario_turma;float64
eq_MM_acerto_medio_diario_turma;float64
eq_MT_acerto_medio_diario_turma;float64
eq_OI_acerto_medio_diario_turma;float64
eq_SB_acerto_medio_diario_turma;float64
eq_SP_acerto_medio_diario_turma;float64
eq_AD_acerto_medio_total_turma;float64
eq_AF_acerto_medio_total_turma;float64
eq_DM_acerto_medio_total_turma;float64
eq_DV_acerto_medio_total_turma;int64
eq_MF_acerto_medio_total_turma;float64
eq_MM_acerto_medio_total_turma;float64
