Metric,precision-train,recall-train,f1-score-train,support-train,precision-test,recall-test,f1-score-test,support-test,Model
0,0.89,0.91,0.9,2553.0,0.6,0.72,0.66,134.0,Decision Tree_rfe
1,0.89,0.93,0.91,2553.0,0.73,0.82,0.77,186.0,Decision Tree_rfe
2,0.89,0.83,0.86,2553.0,0.88,0.78,0.83,606.0,Decision Tree_rfe
3,0.96,0.97,0.96,2553.0,0.78,0.82,0.8,93.0,Decision Tree_rfe
4,0.96,0.95,0.95,2553.0,0.67,0.84,0.74,79.0,Decision Tree_rfe
accuracy,0.92,0.92,0.92,0.92,0.78,0.78,0.78,0.78,Decision Tree_rfe
macro avg,0.92,0.92,0.92,12765.0,0.73,0.79,0.76,1098.0,Decision Tree_rfe
weighted avg,0.92,0.92,0.92,12765.0,0.8,0.78,0.79,1098.0,Decision Tree_rfe
balanced_accuracy,,,0.92,,,,0.79,,Decision Tree_rfe
0,0.88,0.91,0.9,2553.0,0.46,0.62,0.53,134.0,Decision Tree_pca
1,0.9,0.88,0.89,2553.0,0.61,0.67,0.64,186.0,Decision Tree_pca
2,0.84,0.83,0.84,2553.0,0.83,0.71,0.76,606.0,Decision Tree_pca
3,0.95,0.94,0.95,2553.0,0.7,0.7,0.7,93.0,Decision Tree_pca
4,0.94,0.95,0.95,2553.0,0.56,0.71,0.63,79.0,Decision Tree_pca
accuracy,0.9,0.9,0.9,0.9,0.69,0.69,0.69,0.69,Decision Tree_pca
macro avg,0.9,0.9,0.9,12765.0,0.63,0.68,0.65,1098.0,Decision Tree_pca
weighted avg,0.9,0.9,0.9,12765.0,0.72,0.69,0.7,1098.0,Decision Tree_pca
balanced_accuracy,,,0.9,,,,0.68,,Decision Tree_pca
