Metric,precision-train,recall-train,f1-score-train,support-train,precision-test,recall-test,f1-score-test,support-test,Model
0,0.66,0.64,0.65,2553.0,0.41,0.54,0.47,134.0,Logistic Regression_rfe
1,0.72,0.75,0.74,2553.0,0.52,0.73,0.61,186.0,Logistic Regression_rfe
2,0.53,0.44,0.48,2553.0,0.82,0.42,0.56,606.0,Logistic Regression_rfe
3,0.76,0.84,0.79,2553.0,0.42,0.77,0.54,93.0,Logistic Regression_rfe
4,0.75,0.78,0.76,2553.0,0.29,0.63,0.39,79.0,Logistic Regression_rfe
accuracy,0.69,0.69,0.69,0.69,0.53,0.53,0.53,0.53,Logistic Regression_rfe
macro avg,0.68,0.69,0.69,12765.0,0.49,0.62,0.51,1098.0,Logistic Regression_rfe
weighted avg,0.68,0.69,0.69,12765.0,0.65,0.53,0.54,1098.0,Logistic Regression_rfe
balanced_accuracy,,,0.69,,,,0.62,,Logistic Regression_rfe
0,0.61,0.65,0.63,2553.0,0.36,0.49,0.42,134.0,Logistic Regression_pca
1,0.79,0.73,0.76,2553.0,0.71,0.68,0.69,186.0,Logistic Regression_pca
2,0.67,0.56,0.61,2553.0,0.82,0.55,0.66,606.0,Logistic Regression_pca
3,0.75,0.82,0.78,2553.0,0.45,0.75,0.56,93.0,Logistic Regression_pca
4,0.73,0.8,0.76,2553.0,0.32,0.72,0.45,79.0,Logistic Regression_pca
accuracy,0.71,0.71,0.71,0.71,0.59,0.59,0.59,0.59,Logistic Regression_pca
macro avg,0.71,0.71,0.71,12765.0,0.53,0.64,0.55,1098.0,Logistic Regression_pca
weighted avg,0.71,0.71,0.71,12765.0,0.68,0.59,0.61,1098.0,Logistic Regression_pca
balanced_accuracy,,,0.71,,,,0.64,,Logistic Regression_pca
0,0.89,0.91,0.9,2553.0,0.59,0.72,0.65,134.0,Decision Tree_rfe
1,0.89,0.93,0.91,2553.0,0.74,0.82,0.78,186.0,Decision Tree_rfe
2,0.89,0.83,0.86,2553.0,0.88,0.77,0.82,606.0,Decision Tree_rfe
3,0.96,0.97,0.96,2553.0,0.78,0.82,0.8,93.0,Decision Tree_rfe
4,0.96,0.95,0.95,2553.0,0.65,0.84,0.73,79.0,Decision Tree_rfe
accuracy,0.92,0.92,0.92,0.92,0.78,0.78,0.78,0.78,Decision Tree_rfe
macro avg,0.92,0.92,0.92,12765.0,0.73,0.79,0.76,1098.0,Decision Tree_rfe
weighted avg,0.92,0.92,0.92,12765.0,0.8,0.78,0.79,1098.0,Decision Tree_rfe
balanced_accuracy,,,0.92,,,,0.79,,Decision Tree_rfe
0,0.88,0.9,0.89,2553.0,0.49,0.62,0.55,134.0,Decision Tree_pca
1,0.89,0.89,0.89,2553.0,0.62,0.73,0.67,186.0,Decision Tree_pca
2,0.85,0.84,0.84,2553.0,0.83,0.7,0.76,606.0,Decision Tree_pca
3,0.95,0.95,0.95,2553.0,0.69,0.82,0.75,93.0,Decision Tree_pca
4,0.95,0.95,0.95,2553.0,0.57,0.68,0.62,79.0,Decision Tree_pca
accuracy,0.9,0.9,0.9,0.9,0.7,0.7,0.7,0.7,Decision Tree_pca
macro avg,0.9,0.9,0.9,12765.0,0.64,0.71,0.67,1098.0,Decision Tree_pca
weighted avg,0.9,0.9,0.9,12765.0,0.72,0.7,0.71,1098.0,Decision Tree_pca
balanced_accuracy,,,0.9,,,,0.71,,Decision Tree_pca
0,0.97,0.98,0.97,2553.0,0.72,0.75,0.73,134.0,Random Forest_rfe
1,0.97,0.97,0.97,2553.0,0.83,0.85,0.84,186.0,Random Forest_rfe
2,0.98,0.93,0.95,2553.0,0.91,0.84,0.87,606.0,Random Forest_rfe
3,0.98,1.0,0.99,2553.0,0.81,0.89,0.85,93.0,Random Forest_rfe
4,0.98,0.99,0.98,2553.0,0.69,0.91,0.78,79.0,Random Forest_rfe
accuracy,0.97,0.97,0.97,0.97,0.84,0.84,0.84,0.84,Random Forest_rfe
macro avg,0.97,0.97,0.97,12765.0,0.79,0.85,0.81,1098.0,Random Forest_rfe
weighted avg,0.97,0.97,0.97,12765.0,0.85,0.84,0.84,1098.0,Random Forest_rfe
balanced_accuracy,,,0.97,,,,0.85,,Random Forest_rfe
0,0.94,0.96,0.95,2553.0,0.66,0.69,0.68,134.0,Random Forest_pca
1,0.97,0.95,0.96,2553.0,0.76,0.77,0.77,186.0,Random Forest_pca
2,0.97,0.91,0.94,2553.0,0.87,0.79,0.83,606.0,Random Forest_pca
3,0.96,0.99,0.98,2553.0,0.72,0.85,0.78,93.0,Random Forest_pca
4,0.95,0.99,0.97,2553.0,0.57,0.77,0.66,79.0,Random Forest_pca
accuracy,0.96,0.96,0.96,0.96,0.78,0.78,0.78,0.78,Random Forest_pca
macro avg,0.96,0.96,0.96,12765.0,0.72,0.78,0.74,1098.0,Random Forest_pca
weighted avg,0.96,0.96,0.96,12765.0,0.79,0.78,0.78,1098.0,Random Forest_pca
balanced_accuracy,,,0.96,,,,0.78,,Random Forest_pca
0,1.0,1.0,1.0,2553.0,0.81,0.78,0.79,134.0,Gradient Boosting_rfe
1,1.0,1.0,1.0,2553.0,0.85,0.89,0.87,186.0,Gradient Boosting_rfe
2,1.0,1.0,1.0,2553.0,0.93,0.91,0.92,606.0,Gradient Boosting_rfe
3,1.0,1.0,1.0,2553.0,0.92,0.9,0.91,93.0,Gradient Boosting_rfe
4,1.0,1.0,1.0,2553.0,0.75,0.89,0.81,79.0,Gradient Boosting_rfe
accuracy,1.0,1.0,1.0,1.0,0.89,0.89,0.89,0.89,Gradient Boosting_rfe
macro avg,1.0,1.0,1.0,12765.0,0.85,0.87,0.86,1098.0,Gradient Boosting_rfe
weighted avg,1.0,1.0,1.0,12765.0,0.89,0.89,0.89,1098.0,Gradient Boosting_rfe
balanced_accuracy,,,1.0,,,,0.87,,Gradient Boosting_rfe
0,1.0,1.0,1.0,2553.0,0.7,0.64,0.67,134.0,Gradient Boosting_pca
1,1.0,1.0,1.0,2553.0,0.76,0.75,0.76,186.0,Gradient Boosting_pca
2,1.0,1.0,1.0,2553.0,0.87,0.85,0.86,606.0,Gradient Boosting_pca
3,1.0,1.0,1.0,2553.0,0.77,0.85,0.81,93.0,Gradient Boosting_pca
4,1.0,1.0,1.0,2553.0,0.62,0.76,0.69,79.0,Gradient Boosting_pca
accuracy,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8,Gradient Boosting_pca
macro avg,1.0,1.0,1.0,12765.0,0.75,0.77,0.76,1098.0,Gradient Boosting_pca
weighted avg,1.0,1.0,1.0,12765.0,0.8,0.8,0.8,1098.0,Gradient Boosting_pca
balanced_accuracy,,,1.0,,,,0.77,,Gradient Boosting_pca
0,0.65,0.69,0.67,2553.0,0.35,0.57,0.43,134.0,SVM_rfe
1,0.73,0.79,0.76,2553.0,0.53,0.79,0.63,186.0,SVM_rfe
2,0.55,0.42,0.47,2553.0,0.81,0.41,0.54,606.0,SVM_rfe
3,0.81,0.84,0.82,2553.0,0.51,0.78,0.62,93.0,SVM_rfe
4,0.77,0.82,0.8,2553.0,0.37,0.72,0.49,79.0,SVM_rfe
accuracy,0.71,0.71,0.71,0.71,0.55,0.55,0.55,0.55,SVM_rfe
macro avg,0.7,0.71,0.7,12765.0,0.51,0.65,0.54,1098.0,SVM_rfe
weighted avg,0.7,0.71,0.7,12765.0,0.65,0.55,0.55,1098.0,SVM_rfe
balanced_accuracy,,,0.71,,,,0.65,,SVM_rfe
0,0.74,0.8,0.77,2553.0,0.42,0.57,0.48,134.0,SVM_pca
1,0.79,0.78,0.79,2553.0,0.6,0.71,0.65,186.0,SVM_pca
2,0.8,0.58,0.67,2553.0,0.85,0.55,0.67,606.0,SVM_pca
3,0.86,0.95,0.9,2553.0,0.57,0.86,0.68,93.0,SVM_pca
4,0.84,0.93,0.88,2553.0,0.41,0.81,0.54,79.0,SVM_pca
accuracy,0.81,0.81,0.81,0.81,0.63,0.63,0.63,0.63,SVM_pca
macro avg,0.81,0.81,0.8,12765.0,0.57,0.7,0.61,1098.0,SVM_pca
weighted avg,0.81,0.81,0.8,12765.0,0.7,0.63,0.64,1098.0,SVM_pca
balanced_accuracy,,,0.81,,,,0.7,,SVM_pca
0,1.0,1.0,1.0,2553.0,0.67,0.79,0.72,134.0,KNN_rfe
1,1.0,1.0,1.0,2553.0,0.74,0.84,0.79,186.0,KNN_rfe
2,1.0,1.0,1.0,2553.0,0.92,0.74,0.82,606.0,KNN_rfe
3,1.0,1.0,1.0,2553.0,0.72,0.9,0.8,93.0,KNN_rfe
4,1.0,1.0,1.0,2553.0,0.61,0.95,0.75,79.0,KNN_rfe
accuracy,1.0,1.0,1.0,1.0,0.79,0.79,0.79,0.79,KNN_rfe
macro avg,1.0,1.0,1.0,12765.0,0.73,0.84,0.78,1098.0,KNN_rfe
weighted avg,1.0,1.0,1.0,12765.0,0.82,0.79,0.8,1098.0,KNN_rfe
balanced_accuracy,,,1.0,,,,0.84,,KNN_rfe
0,1.0,1.0,1.0,2553.0,0.61,0.7,0.66,134.0,KNN_pca
1,1.0,1.0,1.0,2553.0,0.69,0.73,0.7,186.0,KNN_pca
2,1.0,1.0,1.0,2553.0,0.9,0.73,0.81,606.0,KNN_pca
3,1.0,1.0,1.0,2553.0,0.71,0.88,0.78,93.0,KNN_pca
4,1.0,1.0,1.0,2553.0,0.49,0.85,0.62,79.0,KNN_pca
accuracy,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,KNN_pca
macro avg,1.0,1.0,1.0,12765.0,0.68,0.78,0.71,1098.0,KNN_pca
weighted avg,1.0,1.0,1.0,12765.0,0.78,0.75,0.76,1098.0,KNN_pca
balanced_accuracy,,,1.0,,,,0.78,,KNN_pca
0,1.0,1.0,1.0,2553.0,0.88,0.79,0.83,134.0,XGBoost_rfe
1,1.0,1.0,1.0,2553.0,0.91,0.88,0.9,186.0,XGBoost_rfe
2,1.0,1.0,1.0,2553.0,0.92,0.93,0.92,606.0,XGBoost_rfe
