Metric,precision-train,recall-train,f1-score-train,support-train,precision-test,recall-test,f1-score-test,support-test,Model
accuracy,0.71,0.71,0.71,0.71,0.55,0.55,0.55,0.55,SVM_rfe
macro avg,0.7,0.71,0.7,12765.0,0.51,0.65,0.54,1098.0,SVM_rfe
weighted avg,0.7,0.71,0.7,12765.0,0.65,0.55,0.55,1098.0,SVM_rfe
balanced_accuracy,,,0.71,,,,0.65,,SVM_rfe
accuracy,0.81,0.81,0.81,0.81,0.63,0.63,0.63,0.63,SVM_pca
macro avg,0.81,0.81,0.8,12765.0,0.57,0.7,0.61,1098.0,SVM_pca
weighted avg,0.81,0.81,0.8,12765.0,0.7,0.63,0.64,1098.0,SVM_pca
balanced_accuracy,,,0.81,,,,0.7,,SVM_pca
accuracy,1.0,1.0,1.0,1.0,0.79,0.79,0.79,0.79,KNN_rfe
macro avg,1.0,1.0,1.0,12765.0,0.73,0.84,0.78,1098.0,KNN_rfe
weighted avg,1.0,1.0,1.0,12765.0,0.82,0.79,0.8,1098.0,KNN_rfe
balanced_accuracy,,,1.0,,,,0.84,,KNN_rfe
accuracy,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,KNN_pca
macro avg,1.0,1.0,1.0,12765.0,0.68,0.78,0.71,1098.0,KNN_pca
weighted avg,1.0,1.0,1.0,12765.0,0.78,0.75,0.76,1098.0,KNN_pca
balanced_accuracy,,,1.0,,,,0.78,,KNN_pca
accuracy,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,XGBoost_rfe
macro avg,1.0,1.0,1.0,12765.0,0.88,0.88,0.88,1098.0,XGBoost_rfe
weighted avg,1.0,1.0,1.0,12765.0,0.9,0.9,0.9,1098.0,XGBoost_rfe
balanced_accuracy,,,1.0,,,,0.88,,XGBoost_rfe
accuracy,1.0,1.0,1.0,1.0,0.84,0.84,0.84,0.84,XGBoost_pca
macro avg,1.0,1.0,1.0,12765.0,0.8,0.81,0.8,1098.0,XGBoost_pca
weighted avg,1.0,1.0,1.0,12765.0,0.84,0.84,0.84,1098.0,XGBoost_pca
balanced_accuracy,,,1.0,,,,0.81,,XGBoost_pca
