Metric;precision-train;recall-train;f1-score-train;support-train;precision-test;recall-test;f1-score-test;support-test;Model;Feature_Selection_Type;N_Features;Total_Variance_Explained
0;1,0;1,0;1,0;145,0;1,0;0,9696969696969697;0,9846153846153847;33,0;Random Forest_rfe;selector;40;
1;1,0;1,0;1,0;154,0;0,9333333333333333;1,0;0,9655172413793104;28,0;Random Forest_rfe;selector;40;
2;1,0;1,0;1,0;144,0;1,0;1,0;1,0;33,0;Random Forest_rfe;selector;40;
3;1,0;1,0;1,0;149,0;1,0;1,0;1,0;34,0;Random Forest_rfe;selector;40;
4;1,0;1,0;1,0;135,0;0,9787234042553191;1,0;0,989247311827957;46,0;Random Forest_rfe;selector;40;
5;1,0;1,0;1,0;135,0;0,9782608695652174;0,9574468085106383;0,967741935483871;47,0;Random Forest_rfe;selector;40;
6;1,0;1,0;1,0;146,0;0,9714285714285714;0,9714285714285714;0,9714285714285714;35,0;Random Forest_rfe;selector;40;
7;1,0;1,0;1,0;145,0;0,9705882352941176;0,9705882352941176;0,9705882352941176;34,0;Random Forest_rfe;selector;40;
8;1,0;1,0;1,0;144,0;1,0;0,9333333333333333;0,9655172413793104;30,0;Random Forest_rfe;selector;40;
9;1,0;1,0;1,0;140,0;0,9512195121951219;0,975;0,9629629629629629;40,0;Random Forest_rfe;selector;40;
0;1,0;1,0;1,0;145,0;0,9705882352941176;1,0;0,9850746268656716;33,0;Random Forest_pca;pca;54;0,9910942382346755
1;1,0;1,0;1,0;154,0;1,0;0,9642857142857143;0,9818181818181818;28,0;Random Forest_pca;pca;54;0,9910942382346755
2;1,0;1,0;1,0;144,0;0,9428571428571428;1,0;0,9705882352941176;33,0;Random Forest_pca;pca;54;0,9910942382346755
3;1,0;1,0;1,0;149,0;0,9705882352941176;0,9705882352941176;0,9705882352941176;34,0;Random Forest_pca;pca;54;0,9910942382346755
4;1,0;1,0;1,0;135,0;1,0;1,0;1,0;46,0;Random Forest_pca;pca;54;0,9910942382346755
5;1,0;1,0;1,0;135,0;0,9555555555555556;0,9148936170212766;0,9347826086956522;47,0;Random Forest_pca;pca;54;0,9910942382346755
6;1,0;1,0;1,0;146,0;0,9714285714285714;0,9714285714285714;0,9714285714285714;35,0;Random Forest_pca;pca;54;0,9910942382346755
7;1,0;1,0;1,0;145,0;0,9705882352941176;0,9705882352941176;0,9705882352941176;34,0;Random Forest_pca;pca;54;0,9910942382346755
8;1,0;1,0;1,0;144,0;1,0;0,9666666666666667;0,983050847457627;30,0;Random Forest_pca;pca;54;0,9910942382346755
9;1,0;1,0;1,0;140,0;0,9024390243902439;0,925;0,9135802469135802;40,0;Random Forest_pca;pca;54;0,9910942382346755
0;1,0;1,0;1,0;145,0;1,0;0,9696969696969697;0,9846153846153847;33,0;Random Forest_rf;selector;31;
1;1,0;1,0;1,0;154,0;0,9333333333333333;1,0;0,9655172413793104;28,0;Random Forest_rf;selector;31;
2;1,0;1,0;1,0;144,0;1,0;1,0;1,0;33,0;Random Forest_rf;selector;31;
3;1,0;1,0;1,0;149,0;1,0;0,9705882352941176;0,9850746268656716;34,0;Random Forest_rf;selector;31;
4;1,0;1,0;1,0;135,0;0,9782608695652174;0,9782608695652174;0,9782608695652174;46,0;Random Forest_rf;selector;31;
5;1,0;1,0;1,0;135,0;0,9583333333333334;0,9787234042553191;0,968421052631579;47,0;Random Forest_rf;selector;31;
6;1,0;1,0;1,0;146,0;0,9714285714285714;0,9714285714285714;0,9714285714285714;35,0;Random Forest_rf;selector;31;
7;1,0;1,0;1,0;145,0;0,9166666666666666;0,9705882352941176;0,9428571428571428;34,0;Random Forest_rf;selector;31;
8;1,0;1,0;1,0;144,0;0,9655172413793104;0,9333333333333333;0,9491525423728815;30,0;Random Forest_rf;selector;31;
9;1,0;1,0;1,0;140,0;0,9736842105263158;0,925;0,9487179487179489;40,0;Random Forest_rf;selector;31;
0;1,0;1,0;1,0;145,0;1,0;0,9696969696969697;0,9846153846153847;33,0;Random Forest_mi;selector;50;
1;1,0;1,0;1,0;154,0;0,9655172413793104;1,0;0,9824561403508771;28,0;Random Forest_mi;selector;50;
2;1,0;1,0;1,0;144,0;1,0;1,0;1,0;33,0;Random Forest_mi;selector;50;
3;1,0;1,0;1,0;149,0;1,0;0,9705882352941176;0,9850746268656716;34,0;Random Forest_mi;selector;50;
4;1,0;1,0;1,0;135,0;0,9787234042553191;1,0;0,989247311827957;46,0;Random Forest_mi;selector;50;
5;1,0;1,0;1,0;135,0;0,9583333333333334;0,9787234042553191;0,968421052631579;47,0;Random Forest_mi;selector;50;
6;1,0;1,0;1,0;146,0;0,9714285714285714;0,9714285714285714;0,9714285714285714;35,0;Random Forest_mi;selector;50;
7;1,0;1,0;1,0;145,0;0,9705882352941176;0,9705882352941176;0,9705882352941176;34,0;Random Forest_mi;selector;50;
8;1,0;1,0;1,0;144,0;1,0;0,9666666666666667;0,983050847457627;30,0;Random Forest_mi;selector;50;
9;1,0;1,0;1,0;140,0;0,975;0,975;0,975;40,0;Random Forest_mi;selector;50;
0;1,0;1,0;1,0;145,0;1,0;0,9696969696969697;0,9846153846153847;33,0;Random Forest_none;original;64;
1;1,0;1,0;1,0;154,0;0,9655172413793104;1,0;0,9824561403508771;28,0;Random Forest_none;original;64;
2;1,0;1,0;1,0;144,0;1,0;1,0;1,0;33,0;Random Forest_none;original;64;
3;1,0;1,0;1,0;149,0;1,0;0,9705882352941176;0,9850746268656716;34,0;Random Forest_none;original;64;
4;1,0;1,0;1,0;135,0;0,9787234042553191;1,0;0,989247311827957;46,0;Random Forest_none;original;64;
5;1,0;1,0;1,0;135,0;0,9583333333333334;0,9787234042553191;0,968421052631579;47,0;Random Forest_none;original;64;
6;1,0;1,0;1,0;146,0;0,9714285714285714;0,9714285714285714;0,9714285714285714;35,0;Random Forest_none;original;64;
7;1,0;1,0;1,0;145,0;0,9705882352941176;0,9705882352941176;0,9705882352941176;34,0;Random Forest_none;original;64;
8;1,0;1,0;1,0;144,0;0,9666666666666667;0,9666666666666667;0,9666666666666667;30,0;Random Forest_none;original;64;
9;1,0;1,0;1,0;140,0;0,9743589743589743;0,95;0,9620253164556962;40,0;Random Forest_none;original;64;
