Metric;f1-score-train;precision-train;recall-train;support-train;f1-score-test;precision-test;recall-test;support-test;Model
balanced_accuracy;1,0;;;;0,9769358749302428;;;;Random Forest_rfe
kappa;1,0;;;;0,9752266588676519;;;;Random Forest_rfe
accuracy;1,0;1,0;1,0;1,0;0,9777777777777777;0,9777777777777777;0,9777777777777777;0,9777777777777777;Random Forest_rfe
macro avg;1,0;1,0;1,0;1437,0;0,97754096654219;0,9787406877644675;0,9769358749302428;360,0;Random Forest_rfe
weighted avg;1,0;1,0;1,0;1437,0;0,977794474509752;0,9783229905437352;0,9777777777777777;360,0;Random Forest_rfe
balanced_accuracy;1,0;;;;0,9702696823410214;;;;Random Forest_pca
kappa;1,0;;;;0,9659419292692996;;;;Random Forest_pca
accuracy;1,0;1,0;1,0;1,0;0,9694444444444444;0,9694444444444444;0,9694444444444444;0,9694444444444444;Random Forest_pca
macro avg;1,0;1,0;1,0;1437,0;0,9705959707391226;0,9716745828766289;0,9702696823410214;360,0;Random Forest_pca
weighted avg;1,0;1,0;1,0;1437,0;0,9694954935378514;0,9702519316905507;0,9694444444444444;360,0;Random Forest_pca
balanced_accuracy;1,0;;;;0,9734213821766197;;;;Random Forest_rf
kappa;1,0;;;;0,9690421113280074;;;;Random Forest_rf
accuracy;1,0;1,0;1,0;1,0;0,9722222222222222;0,9722222222222222;0,9722222222222222;0,9722222222222222;Random Forest_rf
macro avg;1,0;1,0;1,0;1437,0;0,9730368992625765;0,9729883263885943;0,9734213821766197;360,0;Random Forest_rf
weighted avg;1,0;1,0;1,0;1437,0;0,9723104790303772;0,972709745554573;0,9722222222222222;360,0;Random Forest_rf
balanced_accuracy;1,0;;;;0,9769358749302428;;;;Random Forest_mi
kappa;1,0;;;;0,9752266588676519;;;;Random Forest_mi
accuracy;1,0;1,0;1,0;1,0;0,9777777777777777;0,9777777777777777;0,9777777777777777;0,9777777777777777;Random Forest_mi
macro avg;1,0;1,0;1,0;1437,0;0,97754096654219;0,9787406877644675;0,9769358749302428;360,0;Random Forest_mi
weighted avg;1,0;1,0;1,0;1437,0;0,977794474509752;0,9783229905437352;0,9777777777777777;360,0;Random Forest_mi
balanced_accuracy;1,0;;;;0,9802692082635762;;;;Random Forest_none
kappa;1,0;;;;0,9783229535835942;;;;Random Forest_none
accuracy;1,0;1,0;1,0;1,0;0,9805555555555555;0,9805555555555555;0,9805555555555555;0,9805555555555555;Random Forest_none
macro avg;1,0;1,0;1,0;1437,0;0,9809882170471784;0,9819590785690652;0,9802692082635762;360,0;Random Forest_none
weighted avg;1,0;1,0;1,0;1437,0;0,9805730782696227;0,9808261833917556;0,9805555555555555;360,0;Random Forest_none
