Metric,f1-score-train,precision-train,recall-train,support-train,f1-score-test,precision-test,recall-test,support-test,Model
balanced_accuracy,1.0,,,,0.9655038765989954,,,,Random Forest_pca
kappa,1.0,,,,0.9597561290211625,,,,Random Forest_pca
accuracy,1.0,1.0,1.0,1.0,0.9638888888888889,0.9638888888888889,0.9638888888888889,0.9638888888888889,Random Forest_pca
macro avg,1.0,1.0,1.0,1437.0,0.9648287062783044,0.9647577297639355,0.9655038765989954,360.0,Random Forest_pca
weighted avg,1.0,1.0,1.0,1437.0,0.9637850602660867,0.9642518649809481,0.9638888888888889,360.0,Random Forest_pca
balanced_accuracy,1.0,,,,0.9802692082635762,,,,Random Forest_rf
kappa,1.0,,,,0.9783255637933703,,,,Random Forest_rf
accuracy,1.0,1.0,1.0,1.0,0.9805555555555555,0.9805555555555555,0.9805555555555555,0.9805555555555555,Random Forest_rf
macro avg,1.0,1.0,1.0,1437.0,0.980526610717711,0.9809677826309608,0.9802692082635762,360.0,Random Forest_rf
weighted avg,1.0,1.0,1.0,1437.0,0.9805505861418674,0.9807104426510149,0.9805555555555555,360.0,Random Forest_rf
balanced_accuracy,1.0,,,,0.9513220123639398,,,,XGBoost_pca
kappa,1.0,,,,0.9473548387096774,,,,XGBoost_pca
accuracy,1.0,1.0,1.0,1.0,0.9527777777777777,0.9527777777777777,0.9527777777777777,0.9527777777777777,XGBoost_pca
macro avg,1.0,1.0,1.0,1437.0,0.9522171526650934,0.9537136014280321,0.9513220123639398,360.0,XGBoost_pca
weighted avg,1.0,1.0,1.0,1437.0,0.9529091922253896,0.9536268150590086,0.9527777777777777,360.0,XGBoost_pca
balanced_accuracy,1.0,,,,0.9671468723726981,,,,XGBoost_rf
kappa,1.0,,,,0.9628463801021725,,,,XGBoost_rf
accuracy,1.0,1.0,1.0,1.0,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,XGBoost_rf
macro avg,1.0,1.0,1.0,1437.0,0.9669697989337538,0.9678651725942367,0.9671468723726981,360.0,XGBoost_rf
weighted avg,1.0,1.0,1.0,1437.0,0.9666334165289716,0.9676113971475218,0.9666666666666667,360.0,XGBoost_rf
