Metric,f1-score-train,precision-train,recall-train,support-train,f1-score-test,precision-test,recall-test,support-test,Model
balanced_accuracy,1.0,,,,0.97,,,,Random Forest_pca
kappa,1.0,,,,0.97,,,,Random Forest_pca
auc_pr_macro,1.0,,,,0.99,,,,Random Forest_pca
accuracy,1.0,1.0,1.0,1.0,0.97,0.97,0.97,0.97,Random Forest_pca
macro avg,1.0,1.0,1.0,1437.0,0.97,0.97,0.97,360.0,Random Forest_pca
weighted avg,1.0,1.0,1.0,1437.0,0.97,0.97,0.97,360.0,Random Forest_pca
balanced_accuracy,1.0,,,,0.95,,,,XGBoost_pca
kappa,1.0,,,,0.94,,,,XGBoost_pca
auc_pr_macro,1.0,,,,0.99,,,,XGBoost_pca
accuracy,1.0,1.0,1.0,1.0,0.95,0.95,0.95,0.95,XGBoost_pca
macro avg,1.0,1.0,1.0,1437.0,0.95,0.95,0.95,360.0,XGBoost_pca
weighted avg,1.0,1.0,1.0,1437.0,0.95,0.95,0.95,360.0,XGBoost_pca
