Metric,f1-score-train,precision-train,recall-train,support-train,f1-score-test,precision-test,recall-test,support-test,Model
balanced_accuracy,1.0,,,,0.98,,,,Random Forest_rf
kappa,1.0,,,,0.97,,,,Random Forest_rf
auc_pr_macro,1.0,,,,1.0,,,,Random Forest_rf
accuracy,1.0,1.0,1.0,1.0,0.98,0.98,0.98,0.98,Random Forest_rf
macro avg,1.0,1.0,1.0,1437.0,0.98,0.98,0.98,360.0,Random Forest_rf
weighted avg,1.0,1.0,1.0,1437.0,0.98,0.98,0.98,360.0,Random Forest_rf
balanced_accuracy,1.0,,,,0.98,,,,XGBoost_rf
kappa,1.0,,,,0.98,,,,XGBoost_rf
auc_pr_macro,1.0,,,,1.0,,,,XGBoost_rf
accuracy,1.0,1.0,1.0,1.0,0.98,0.98,0.98,0.98,XGBoost_rf
macro avg,1.0,1.0,1.0,1437.0,0.98,0.98,0.98,360.0,XGBoost_rf
weighted avg,1.0,1.0,1.0,1437.0,0.98,0.98,0.98,360.0,XGBoost_rf
