Metric;f1-score-train;precision-train;recall-train;support-train;f1-score-test;precision-test;recall-test;support-test;Model
balanced_accuracy;1,0;;;;0,8098061847731272;;;;Decision Tree_pca
kappa;1,0;;;;0,7897033683541368;;;;Decision Tree_pca
accuracy;1,0;1,0;1,0;1,0;0,8111111111111111;0,8111111111111111;0,8111111111111111;0,8111111111111111;Decision Tree_pca
macro avg;1,0;1,0;1,0;1437,0;0,8083863047441721;0,8096813412826332;0,8098061847731272;360,0;Decision Tree_pca
weighted avg;1,0;1,0;1,0;1437,0;0,8132640458671468;0,8184283931601483;0,8111111111111111;360,0;Decision Tree_pca
balanced_accuracy;0,9759781515245433;;;;0,8664811410225515;;;;Decision Tree_rf
kappa;0,9737047187053969;;;;0,8545554571789604;;;;Decision Tree_rf
accuracy;0,97633959638135;0,97633959638135;0,97633959638135;0,97633959638135;0,8694444444444445;0,8694444444444445;0,8694444444444445;0,8694444444444445;Decision Tree_rf
macro avg;0,9762256099924997;0,9770022420854998;0,9759781515245433;1437,0;0,8651257042097964;0,8666359135736463;0,8664811410225515;360,0;Decision Tree_rf
weighted avg;0,9763339927681963;0,976865838203366;0,97633959638135;1437,0;0,8703179597013541;0,8735765210823571;0,8694444444444445;360,0;Decision Tree_rf
balanced_accuracy;1,0;;;;0,9676315361734635;;;;Random Forest_pca
kappa;1,0;;;;0,9628546861564918;;;;Random Forest_pca
accuracy;1,0;1,0;1,0;1,0;0,9666666666666667;0,9666666666666667;0,9666666666666667;0,9666666666666667;Random Forest_pca
macro avg;1,0;1,0;1,0;1437,0;0,9668065676052848;0,9668270444322268;0,9676315361734635;360,0;Random Forest_pca
weighted avg;1,0;1,0;1,0;1437,0;0,9667081959886925;0,9675833276498506;0,9666666666666667;360,0;Random Forest_pca
balanced_accuracy;1,0;;;;0,9748280317929879;;;;Random Forest_rf
kappa;1,0;;;;0,972131908964236;;;;Random Forest_rf
accuracy;1,0;1,0;1,0;1,0;0,975;0,975;0,975;0,975;Random Forest_rf
macro avg;1,0;1,0;1,0;1437,0;0,9751079152804136;0,9757885334279319;0,9748280317929879;360,0;Random Forest_rf
