Model;CV Score;balanced_accuracy-train;f1-score-train;precision-train;recall-train;balanced_accuracy-test;f1-score-test;precision-test;recall-test
Logistic Regression_rfe;0,971;0,999;0,999;0,999;0,999;0,974;0,972;0,973;0,972
Logistic Regression_pca;0,970;0,999;0,999;0,999;0,999;0,974;0,972;0,973;0,972
Logistic Regression_rf;0,965;0,998;0,998;0,998;0,998;0,979;0,978;0,978;0,978
Logistic Regression_mi;0,972;0,999;0,999;0,999;0,999;0,974;0,972;0,973;0,972
Logistic Regression_none;0,968;0,999;0,999;0,999;0,999;0,974;0,972;0,973;0,972
Decision Tree_rfe;0,837;1,000;1,000;1,000;1,000;0,838;0,843;0,846;0,842
Decision Tree_pca;0,807;1,000;1,000;1,000;1,000;0,808;0,805;0,810;0,806
Decision Tree_rf;0,834;1,000;1,000;1,000;1,000;0,795;0,796;0,803;0,794
Decision Tree_mi;0,829;1,000;1,000;1,000;1,000;0,805;0,810;0,819;0,808
Decision Tree_none;0,820;1,000;1,000;1,000;1,000;0,851;0,851;0,855;0,850
Random Forest_rfe;0,975;1,000;1,000;1,000;1,000;0,971;0,972;0,973;0,972
Random Forest_pca;0,968;1,000;1,000;1,000;1,000;0,977;0,975;0,975;0,975
Random Forest_rf;0,975;1,000;1,000;1,000;1,000;0,977;0,978;0,978;0,978
Random Forest_mi;0,977;1,000;1,000;1,000;1,000;0,978;0,978;0,978;0,978
Random Forest_none;0,977;1,000;1,000;1,000;1,000;0,977;0,978;0,978;0,978
Gradient Boosting_rfe;0,973;1,000;1,000;1,000;1,000;0,977;0,975;0,976;0,975
Gradient Boosting_pca;0,952;1,000;1,000;1,000;1,000;0,957;0,955;0,956;0,956
Gradient Boosting_rf;0,969;1,000;1,000;1,000;1,000;0,962;0,964;0,964;0,964
Gradient Boosting_mi;0,968;1,000;1,000;1,000;1,000;0,976;0,975;0,976;0,975
Gradient Boosting_none;0,970;1,000;1,000;1,000;1,000;0,979;0,978;0,978;0,978
SVM_rfe;0,983;0,996;0,996;0,996;0,996;0,975;0,975;0,975;0,975
SVM_pca;0,983;0,996;0,997;0,997;0,997;0,975;0,975;0,975;0,975
SVM_rf;0,979;0,996;0,996;0,996;0,996;0,983;0,983;0,984;0,983
SVM_mi;0,984;0,996;0,996;0,996;0,996;0,983;0,983;0,984;0,983
SVM_none;0,982;1,000;1,000;1,000;1,000;0,975;0,975;0,975;0,975
KNN_rfe;0,986;1,000;1,000;1,000;1,000;0,988;0,986;0,986;0,986
KNN_pca;0,974;1,000;1,000;1,000;1,000;0,970;0,969;0,970;0,969
KNN_rf;0,984;1,000;1,000;1,000;1,000;0,984;0,983;0,983;0,983
KNN_mi;0,985;1,000;1,000;1,000;1,000;0,979;0,978;0,978;0,978
KNN_none;0,975;1,000;1,000;1,000;1,000;0,976;0,975;0,976;0,975
XGBoost_rfe;0,969;1,000;1,000;1,000;1,000;0,978;0,978;0,978;0,978
XGBoost_pca;0,960;1,000;1,000;1,000;1,000;0,962;0,961;0,961;0,961
XGBoost_rf;0,968;1,000;1,000;1,000;1,000;0,976;0,975;0,976;0,975
XGBoost_mi;0,970;1,000;1,000;1,000;1,000;0,976;0,975;0,975;0,975
XGBoost_none;0,970;1,000;1,000;1,000;1,000;0,976;0,975;0,975;0,975
Naive Bayes_rfe;0,904;0,911;0,911;0,914;0,911;0,913;0,915;0,922;0,914
Naive Bayes_pca;0,900;0,926;0,926;0,929;0,926;0,908;0,907;0,912;0,906
Naive Bayes_rf;0,905;0,911;0,911;0,915;0,910;0,890;0,895;0,901;0,894
Naive Bayes_mi;0,904;0,905;0,904;0,907;0,904;0,892;0,900;0,903;0,900
Naive Bayes_none;0,830;0,842;0,843;0,875;0,842;0,839;0,840;0,869;0,839
MLP_rfe;0,977;1,000;1,000;1,000;1,000;0,970;0,970;0,970;0,969
MLP_pca;0,974;1,000;1,000;1,000;1,000;0,973;0,972;0,973;0,972
MLP_rf;0,975;1,000;1,000;1,000;1,000;0,981;0,981;0,981;0,981
MLP_mi;0,974;1,000;1,000;1,000;1,000;0,964;0,964;0,965;0,964
MLP_none;0,976;1,000;1,000;1,000;1,000;0,973;0,972;0,973;0,972
