Metric,precision-train,recall-train,f1-score-train,support-train,precision-test,recall-test,f1-score-test,support-test,Model
0,1.0,1.0,1.0,145.0,1.0,1.0,1.0,33.0,Random Forest_rf
1,1.0,1.0,1.0,154.0,0.9333333333333333,1.0,0.9655172413793104,28.0,Random Forest_rf
2,1.0,1.0,1.0,144.0,1.0,1.0,1.0,33.0,Random Forest_rf
3,1.0,1.0,1.0,149.0,1.0,0.9705882352941176,0.9850746268656716,34.0,Random Forest_rf
4,1.0,1.0,1.0,135.0,1.0,1.0,1.0,46.0,Random Forest_rf
5,1.0,1.0,1.0,135.0,0.9387755102040817,0.9787234042553191,0.9583333333333333,47.0,Random Forest_rf
6,1.0,1.0,1.0,146.0,0.9714285714285714,0.9714285714285714,0.9714285714285714,35.0,Random Forest_rf
7,1.0,1.0,1.0,145.0,0.9705882352941176,0.9705882352941176,0.9705882352941176,34.0,Random Forest_rf
8,1.0,1.0,1.0,144.0,1.0,0.9333333333333333,0.9655172413793104,30.0,Random Forest_rf
9,1.0,1.0,1.0,140.0,0.9743589743589743,0.95,0.9620253164556962,40.0,Random Forest_rf
0,1.0,1.0,1.0,145.0,1.0,0.9696969696969697,0.9846153846153847,33.0,XGBoost_rf
1,1.0,1.0,1.0,154.0,0.9655172413793104,1.0,0.9824561403508771,28.0,XGBoost_rf
2,1.0,1.0,1.0,144.0,1.0,1.0,1.0,33.0,XGBoost_rf
3,1.0,1.0,1.0,149.0,1.0,0.9705882352941176,0.9850746268656716,34.0,XGBoost_rf
4,1.0,1.0,1.0,135.0,0.9782608695652174,0.9782608695652174,0.9782608695652174,46.0,XGBoost_rf
5,1.0,1.0,1.0,135.0,0.9782608695652174,0.9574468085106383,0.967741935483871,47.0,XGBoost_rf
6,1.0,1.0,1.0,146.0,0.9444444444444444,0.9714285714285714,0.9577464788732395,35.0,XGBoost_rf
7,1.0,1.0,1.0,145.0,0.9428571428571428,0.9705882352941176,0.9565217391304348,34.0,XGBoost_rf
8,1.0,1.0,1.0,144.0,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0,XGBoost_rf
9,1.0,1.0,1.0,140.0,0.95,0.95,0.9500000000000001,40.0,XGBoost_rf
