Metric,precision-train,recall-train,f1-score-train,support-train,precision-test,recall-test,f1-score-test,support-test,Model,Feature_Selection_Type,N_Features,Total_Variance_Explained
0,0.9863945578231292,1.0,0.9931506849315068,145.0,0.8823529411764706,0.9090909090909091,0.8955223880597014,33.0,Decision Tree_pca,pca,16,0.7315492805548411
1,0.9685534591194969,1.0,0.9840255591054313,154.0,0.8148148148148148,0.7857142857142857,0.7999999999999999,28.0,Decision Tree_pca,pca,16,0.7315492805548411
2,0.9215686274509803,0.9791666666666666,0.9494949494949494,144.0,0.8,0.8484848484848485,0.823529411764706,33.0,Decision Tree_pca,pca,16,0.7315492805548411
3,0.9358974358974359,0.9798657718120806,0.957377049180328,149.0,0.7878787878787878,0.7647058823529411,0.7761194029850745,34.0,Decision Tree_pca,pca,16,0.7315492805548411
4,0.9568345323741008,0.9851851851851852,0.9708029197080292,135.0,0.8913043478260869,0.8913043478260869,0.8913043478260869,46.0,Decision Tree_pca,pca,16,0.7315492805548411
5,0.9699248120300752,0.9555555555555556,0.9626865671641791,135.0,0.813953488372093,0.7446808510638298,0.7777777777777778,47.0,Decision Tree_pca,pca,16,0.7315492805548411
6,0.9931506849315068,0.9931506849315068,0.9931506849315068,146.0,0.9166666666666666,0.9428571428571428,0.9295774647887323,35.0,Decision Tree_pca,pca,16,0.7315492805548411
7,1.0,0.9793103448275862,0.9895470383275261,145.0,0.967741935483871,0.8823529411764706,0.923076923076923,34.0,Decision Tree_pca,pca,16,0.7315492805548411
8,0.9849624060150376,0.9097222222222222,0.9458483754512635,144.0,0.6451612903225806,0.6666666666666666,0.6557377049180327,30.0,Decision Tree_pca,pca,16,0.7315492805548411
9,0.9922480620155039,0.9142857142857143,0.9516728624535317,140.0,0.6590909090909091,0.725,0.6904761904761905,40.0,Decision Tree_pca,pca,16,0.7315492805548411
0,0.9177215189873418,1.0,0.9570957095709571,145.0,0.8857142857142857,0.9393939393939394,0.9117647058823529,33.0,Decision Tree_rf,selector,31,
1,0.8909090909090909,0.9545454545454546,0.9216300940438871,154.0,0.7027027027027027,0.9285714285714286,0.7999999999999999,28.0,Decision Tree_rf,selector,31,
2,0.9640287769784173,0.9305555555555556,0.9469964664310955,144.0,0.8888888888888888,0.7272727272727273,0.7999999999999999,33.0,Decision Tree_rf,selector,31,
3,0.9144736842105263,0.9328859060402684,0.9235880398671096,149.0,0.8333333333333334,0.8823529411764706,0.8571428571428571,34.0,Decision Tree_rf,selector,31,
4,0.9323308270676691,0.9185185185185185,0.9253731343283582,135.0,0.8888888888888888,0.8695652173913043,0.8791208791208792,46.0,Decision Tree_rf,selector,31,
5,0.9424460431654677,0.9703703703703703,0.9562043795620438,135.0,0.8979591836734694,0.9361702127659575,0.9166666666666666,47.0,Decision Tree_rf,selector,31,
6,0.9790209790209791,0.958904109589041,0.9688581314878892,146.0,0.967741935483871,0.8571428571428571,0.909090909090909,35.0,Decision Tree_rf,selector,31,
7,0.9448275862068966,0.9448275862068966,0.9448275862068966,145.0,0.8055555555555556,0.8529411764705882,0.8285714285714286,34.0,Decision Tree_rf,selector,31,
8,0.9541984732824428,0.8680555555555556,0.9090909090909092,144.0,0.8846153846153846,0.7666666666666667,0.8214285714285715,30.0,Decision Tree_rf,selector,31,
9,0.9772727272727273,0.9214285714285714,0.9485294117647058,140.0,0.9210526315789473,0.875,0.8974358974358975,40.0,Decision Tree_rf,selector,31,
0,1.0,1.0,1.0,145.0,0.9705882352941176,1.0,0.9850746268656716,33.0,Random Forest_pca,pca,43,0.9633889916316787
1,1.0,1.0,1.0,154.0,1.0,1.0,1.0,28.0,Random Forest_pca,pca,43,0.9633889916316787
2,1.0,1.0,1.0,144.0,0.9705882352941176,1.0,0.9850746268656716,33.0,Random Forest_pca,pca,43,0.9633889916316787
3,1.0,1.0,1.0,149.0,1.0,0.9411764705882353,0.9696969696969697,34.0,Random Forest_pca,pca,43,0.9633889916316787
4,1.0,1.0,1.0,135.0,1.0,1.0,1.0,46.0,Random Forest_pca,pca,43,0.9633889916316787
5,1.0,1.0,1.0,135.0,0.9565217391304348,0.9361702127659575,0.9462365591397849,47.0,Random Forest_pca,pca,43,0.9633889916316787
