Metric;precision-train;recall-train;f1-score-train;support-train;precision-test;recall-test;f1-score-test;support-test;Model;Feature_Selection_Type;N_Features;Total_Variance_Explained
0;1,0;1,0;1,0;145,0;0,90625;0,8787878787878788;0,8923076923076922;33,0;Decision Tree_pca;pca;15;0,7125867125255003
1;1,0;1,0;1,0;154,0;0,7096774193548387;0,7857142857142857;0,7457627118644068;28,0;Decision Tree_pca;pca;15;0,7125867125255003
2;1,0;1,0;1,0;144,0;0,7777777777777778;0,8484848484848485;0,8115942028985507;33,0;Decision Tree_pca;pca;15;0,7125867125255003
3;1,0;1,0;1,0;149,0;0,7941176470588235;0,7941176470588235;0,7941176470588235;34,0;Decision Tree_pca;pca;15;0,7125867125255003
4;1,0;1,0;1,0;135,0;0,9111111111111111;0,8913043478260869;0,9010989010989011;46,0;Decision Tree_pca;pca;15;0,7125867125255003
5;1,0;1,0;1,0;135,0;0,8974358974358975;0,7446808510638298;0,813953488372093;47,0;Decision Tree_pca;pca;15;0,7125867125255003
6;1,0;1,0;1,0;146,0;0,9411764705882353;0,9142857142857143;0,9275362318840579;35,0;Decision Tree_pca;pca;15;0,7125867125255003
7;1,0;1,0;1,0;145,0;0,9090909090909091;0,8823529411764706;0,8955223880597014;34,0;Decision Tree_pca;pca;15;0,7125867125255003
8;1,0;1,0;1,0;144,0;0,5757575757575758;0,6333333333333333;0,6031746031746033;30,0;Decision Tree_pca;pca;15;0,7125867125255003
9;1,0;1,0;1,0;140,0;0,6744186046511628;0,725;0,6987951807228916;40,0;Decision Tree_pca;pca;15;0,7125867125255003
0;0,9731543624161074;1,0;0,9863945578231292;145,0;0,9090909090909091;0,9090909090909091;0,9090909090909091;33,0;Decision Tree_rf;selector;31;
1;0,9447852760736196;1,0;0,971608832807571;154,0;0,7142857142857143;0,8928571428571429;0,7936507936507937;28,0;Decision Tree_rf;selector;31;
2;0,959731543624161;0,9930555555555556;0,9761092150170648;144,0;0,8333333333333334;0,7575757575757576;0,7936507936507938;33,0;Decision Tree_rf;selector;31;
3;0,9863945578231292;0,9731543624161074;0,9797297297297297;149,0;0,90625;0,8529411764705882;0,8787878787878787;34,0;Decision Tree_rf;selector;31;
4;0,9632352941176471;0,9703703703703703;0,9667896678966789;135,0;0,8913043478260869;0,8913043478260869;0,8913043478260869;46,0;Decision Tree_rf;selector;31;
5;0,9774436090225563;0,9629629629629629;0,9701492537313433;135,0;0,9148936170212766;0,9148936170212766;0,9148936170212766;47,0;Decision Tree_rf;selector;31;
6;1,0;0,958904109589041;0,9790209790209791;146,0;0,9696969696969697;0,9142857142857143;0,9411764705882354;35,0;Decision Tree_rf;selector;31;
7;0,9861111111111112;0,9793103448275862;0,9826989619377162;145,0;0,8;0,8235294117647058;0,8115942028985507;34,0;Decision Tree_rf;selector;31;
8;0,9791666666666666;0,9791666666666666;0,9791666666666666;144,0;0,8064516129032258;0,8333333333333334;0,819672131147541;30,0;Decision Tree_rf;selector;31;
9;1,0;0,9428571428571428;0,9705882352941176;140,0;0,9210526315789473;0,875;0,8974358974358975;40,0;Decision Tree_rf;selector;31;
0;1,0;1,0;1,0;145,0;0,9705882352941176;1,0;0,9850746268656716;33,0;Random Forest_pca;pca;47;0,9758321928091055
1;1,0;1,0;1,0;154,0;0,9655172413793104;1,0;0,9824561403508771;28,0;Random Forest_pca;pca;47;0,9758321928091055
2;1,0;1,0;1,0;144,0;0,9696969696969697;0,9696969696969697;0,9696969696969697;33,0;Random Forest_pca;pca;47;0,9758321928091055
3;1,0;1,0;1,0;149,0;1,0;0,9117647058823529;0,9538461538461539;34,0;Random Forest_pca;pca;47;0,9758321928091055
4;1,0;1,0;1,0;135,0;1,0;1,0;1,0;46,0;Random Forest_pca;pca;47;0,9758321928091055
5;1,0;1,0;1,0;135,0;0,9777777777777777;0,9361702127659575;0,9565217391304347;47,0;Random Forest_pca;pca;47;0,9758321928091055
6;1,0;1,0;1,0;146,0;0,9444444444444444;0,9714285714285714;0,9577464788732395;35,0;Random Forest_pca;pca;47;0,9758321928091055
7;1,0;1,0;1,0;145,0;1,0;0,9705882352941176;0,9850746268656716;34,0;Random Forest_pca;pca;47;0,9758321928091055
8;1,0;1,0;1,0;144,0;0,9354838709677419;0,9666666666666667;0,9508196721311476;30,0;Random Forest_pca;pca;47;0,9758321928091055
9;1,0;1,0;1,0;140,0;0,9047619047619048;0,95;0,9268292682926829;40,0;Random Forest_pca;pca;47;0,9758321928091055
0;1,0;1,0;1,0;145,0;1,0;0,9696969696969697;0,9846153846153847;33,0;Random Forest_rf;selector;32;
1;1,0;1,0;1,0;154,0;0,9655172413793104;1,0;0,9824561403508771;28,0;Random Forest_rf;selector;32;
2;1,0;1,0;1,0;144,0;1,0;1,0;1,0;33,0;Random Forest_rf;selector;32;
3;1,0;1,0;1,0;149,0;1,0;0,9411764705882353;0,9696969696969697;34,0;Random Forest_rf;selector;32;
4;1,0;1,0;1,0;135,0;0,9787234042553191;1,0;0,989247311827957;46,0;Random Forest_rf;selector;32;
5;1,0;1,0;1,0;135,0;0,9583333333333334;0,9787234042553191;0,968421052631579;47,0;Random Forest_rf;selector;32;
6;1,0;1,0;1,0;146,0;0,9714285714285714;0,9714285714285714;0,9714285714285714;35,0;Random Forest_rf;selector;32;
7;1,0;1,0;1,0;145,0;0,9428571428571428;0,9705882352941176;0,9565217391304348;34,0;Random Forest_rf;selector;32;
8;1,0;1,0;1,0;144,0;0,9666666666666667;0,9666666666666667;0,9666666666666667;30,0;Random Forest_rf;selector;32;
9;1,0;1,0;1,0;140,0;0,9743589743589743;0,95;0,9620253164556962;40,0;Random Forest_rf;selector;32;
0;1,0;1,0;1,0;145,0;0,96875;0,9393939393939394;0,9538461538461539;33,0;Gradient Boosting_pca;pca;38;0,9429897493076488
1;1,0;1,0;1,0;154,0;0,9;0,9642857142857143;0,9310344827586207;28,0;Gradient Boosting_pca;pca;38;0,9429897493076488
2;1,0;1,0;1,0;144,0;0,9166666666666666;1,0;0,9565217391304348;33,0;Gradient Boosting_pca;pca;38;0,9429897493076488
3;1,0;1,0;1,0;149,0;0,9696969696969697;0,9411764705882353;0,955223880597015;34,0;Gradient Boosting_pca;pca;38;0,9429897493076488
4;1,0;1,0;1,0;135,0;0,9787234042553191;1,0;0,989247311827957;46,0;Gradient Boosting_pca;pca;38;0,9429897493076488
5;1,0;1,0;1,0;135,0;0,8958333333333334;0,9148936170212766;0,9052631578947369;47,0;Gradient Boosting_pca;pca;38;0,9429897493076488
6;1,0;1,0;1,0;146,0;0,9714285714285714;0,9714285714285714;0,9714285714285714;35,0;Gradient Boosting_pca;pca;38;0,9429897493076488
7;1,0;1,0;1,0;145,0;0,9696969696969697;0,9411764705882353;0,955223880597015;34,0;Gradient Boosting_pca;pca;38;0,9429897493076488
8;1,0;1,0;1,0;144,0;1,0;0,8666666666666667;0,9285714285714286;30,0;Gradient Boosting_pca;pca;38;0,9429897493076488
9;1,0;1,0;1,0;140,0;0,925;0,925;0,925;40,0;Gradient Boosting_pca;pca;38;0,9429897493076488
0;1,0;1,0;1,0;145,0;1,0;1,0;1,0;33,0;Gradient Boosting_rf;selector;31;
1;1,0;1,0;1,0;154,0;0,9333333333333333;1,0;0,9655172413793104;28,0;Gradient Boosting_rf;selector;31;
2;1,0;1,0;1,0;144,0;1,0;1,0;1,0;33,0;Gradient Boosting_rf;selector;31;
3;1,0;1,0;1,0;149,0;1,0;0,9705882352941176;0,9850746268656716;34,0;Gradient Boosting_rf;selector;31;
4;1,0;1,0;1,0;135,0;1,0;1,0;1,0;46,0;Gradient Boosting_rf;selector;31;
5;1,0;1,0;1,0;135,0;0,9791666666666666;1,0;0,9894736842105264;47,0;Gradient Boosting_rf;selector;31;
6;1,0;1,0;1,0;146,0;1,0;0,9714285714285714;0,9855072463768115;35,0;Gradient Boosting_rf;selector;31;
7;1,0;1,0;1,0;145,0;0,9714285714285714;1,0;0,9855072463768115;34,0;Gradient Boosting_rf;selector;31;
8;1,0;1,0;1,0;144,0;0,9333333333333333;0,9333333333333333;0,9333333333333333;30,0;Gradient Boosting_rf;selector;31;
9;1,0;1,0;1,0;140,0;1,0;0,95;0,9743589743589743;40,0;Gradient Boosting_rf;selector;31;
0;1,0;1,0;1,0;145,0;0,9705882352941176;1,0;0,9850746268656716;33,0;SVM_pca;pca;48;0,9785402794624621
1;0,9506172839506173;1,0;0,9746835443037974;154,0;0,9655172413793104;1,0;0,9824561403508771;28,0;SVM_pca;pca;48;0,9785402794624621
2;1,0;1,0;1,0;144,0;0,9705882352941176;1,0;0,9850746268656716;33,0;SVM_pca;pca;48;0,9785402794624621
3;0,9932885906040269;0,9932885906040269;0,9932885906040269;149,0;1,0;0,9411764705882353;0,9696969696969697;34,0;SVM_pca;pca;48;0,9785402794624621
4;1,0;0,9703703703703703;0,9849624060150376;135,0;1,0;1,0;1,0;46,0;SVM_pca;pca;48;0,9785402794624621
5;0,9851851851851852;0,9851851851851852;0,9851851851851852;135,0;0,9787234042553191;0,9787234042553191;0,9787234042553191;47,0;SVM_pca;pca;48;0,9785402794624621
6;1,0;1,0;1,0;146,0;0,9714285714285714;0,9714285714285714;0,9714285714285714;35,0;SVM_pca;pca;48;0,9785402794624621
7;1,0;1,0;1,0;145,0;0,9705882352941176;0,9705882352941176;0,9705882352941176;34,0;SVM_pca;pca;48;0,9785402794624621
8;0,9513888888888888;0,9513888888888888;0,9513888888888888;144,0;0,9354838709677419;0,9666666666666667;0,9508196721311476;30,0;SVM_pca;pca;48;0,9785402794624621
9;0,9705882352941176;0,9428571428571428;0,9565217391304348;140,0;0,9736842105263158;0,925;0,9487179487179489;40,0;SVM_pca;pca;48;0,9785402794624621
0;1,0;1,0;1,0;145,0;0,9705882352941176;1,0;0,9850746268656716;33,0;SVM_rf;selector;42;
1;0,95;0,987012987012987;0,9681528662420381;154,0;0,9655172413793104;1,0;0,9824561403508771;28,0;SVM_rf;selector;42;
2;0,993103448275862;1,0;0,9965397923875432;144,0;1,0;1,0;1,0;33,0;SVM_rf;selector;42;
3;1,0;0,9932885906040269;0,9966329966329966;149,0;1,0;0,9705882352941176;0,9850746268656716;34,0;SVM_rf;selector;42;
4;1,0;1,0;1,0;135,0;1,0;1,0;1,0;46,0;SVM_rf;selector;42;
5;0,9925925925925926;0,9925925925925926;0,9925925925925926;135,0;0,9583333333333334;0,9787234042553191;0,968421052631579;47,0;SVM_rf;selector;42;
6;1,0;1,0;1,0;146,0;0,9714285714285714;0,9714285714285714;0,9714285714285714;35,0;SVM_rf;selector;42;
7;1,0;1,0;1,0;145,0;0,9705882352941176;0,9705882352941176;0,9705882352941176;34,0;SVM_rf;selector;42;
8;0,9785714285714285;0,9513888888888888;0,9647887323943661;144,0;1,0;0,9333333333333333;0,9655172413793104;30,0;SVM_rf;selector;42;
9;0,9927536231884058;0,9785714285714285;0,9856115107913668;140,0;0,975;0,975;0,975;40,0;SVM_rf;selector;42;
0;1,0;1,0;1,0;145,0;1,0;1,0;1,0;33,0;KNN_pca;pca;37;0,9382289702526528
1;1,0;1,0;1,0;154,0;0,9655172413793104;1,0;0,9824561403508771;28,0;KNN_pca;pca;37;0,9382289702526528
2;1,0;1,0;1,0;144,0;0,9428571428571428;1,0;0,9705882352941176;33,0;KNN_pca;pca;37;0,9382289702526528
3;1,0;1,0;1,0;149,0;0,9705882352941176;0,9705882352941176;0,9705882352941176;34,0;KNN_pca;pca;37;0,9382289702526528
4;1,0;1,0;1,0;135,0;1,0;1,0;1,0;46,0;KNN_pca;pca;37;0,9382289702526528
5;1,0;1,0;1,0;135,0;0,9782608695652174;0,9574468085106383;0,967741935483871;47,0;KNN_pca;pca;37;0,9382289702526528
6;1,0;1,0;1,0;146,0;0,9722222222222222;1,0;0,9859154929577464;35,0;KNN_pca;pca;37;0,9382289702526528
7;1,0;1,0;1,0;145,0;0,9705882352941176;0,9705882352941176;0,9705882352941176;34,0;KNN_pca;pca;37;0,9382289702526528
8;1,0;1,0;1,0;144,0;0,9655172413793104;0,9333333333333333;0,9491525423728815;30,0;KNN_pca;pca;37;0,9382289702526528
9;1,0;1,0;1,0;140,0;0,9473684210526315;0,9;0,9230769230769231;40,0;KNN_pca;pca;37;0,9382289702526528
0;1,0;1,0;1,0;145,0;1,0;1,0;1,0;33,0;KNN_rf;selector;42;
1;1,0;1,0;1,0;154,0;0,9333333333333333;1,0;0,9655172413793104;28,0;KNN_rf;selector;42;
2;1,0;1,0;1,0;144,0;1,0;1,0;1,0;33,0;KNN_rf;selector;42;
3;1,0;1,0;1,0;149,0;0,9714285714285714;1,0;0,9855072463768115;34,0;KNN_rf;selector;42;
4;1,0;1,0;1,0;135,0;1,0;1,0;1,0;46,0;KNN_rf;selector;42;
5;1,0;1,0;1,0;135,0;0,9782608695652174;0,9574468085106383;0,967741935483871;47,0;KNN_rf;selector;42;
6;1,0;1,0;1,0;146,0;0,9722222222222222;1,0;0,9859154929577464;35,0;KNN_rf;selector;42;
7;1,0;1,0;1,0;145,0;1,0;0,9705882352941176;0,9850746268656716;34,0;KNN_rf;selector;42;
8;1,0;1,0;1,0;144,0;1,0;0,9333333333333333;0,9655172413793104;30,0;KNN_rf;selector;42;
9;1,0;1,0;1,0;140,0;0,95;0,95;0,9500000000000001;40,0;KNN_rf;selector;42;
0;1,0;1,0;1,0;145,0;0,9705882352941176;1,0;0,9850746268656716;33,0;XGBoost_pca;pca;41;0,9559123161484926
1;1,0;1,0;1,0;154,0;0,9285714285714286;0,9285714285714286;0,9285714285714286;28,0;XGBoost_pca;pca;41;0,9559123161484926
2;1,0;1,0;1,0;144,0;0,9166666666666666;1,0;0,9565217391304348;33,0;XGBoost_pca;pca;41;0,9559123161484926
3;1,0;1,0;1,0;149,0;1,0;0,9411764705882353;0,9696969696969697;34,0;XGBoost_pca;pca;41;0,9559123161484926
4;1,0;1,0;1,0;135,0;1,0;1,0;1,0;46,0;XGBoost_pca;pca;41;0,9559123161484926
5;1,0;1,0;1,0;135,0;0,9347826086956522;0,9148936170212766;0,924731182795699;47,0;XGBoost_pca;pca;41;0,9559123161484926
6;1,0;1,0;1,0;146,0;0,9714285714285714;0,9714285714285714;0,9714285714285714;35,0;XGBoost_pca;pca;41;0,9559123161484926
7;1,0;1,0;1,0;145,0;0,9696969696969697;0,9411764705882353;0,955223880597015;34,0;XGBoost_pca;pca;41;0,9559123161484926
8;1,0;1,0;1,0;144,0;0,9310344827586207;0,9;0,9152542372881356;30,0;XGBoost_pca;pca;41;0,9559123161484926
9;1,0;1,0;1,0;140,0;0,926829268292683;0,95;0,9382716049382716;40,0;XGBoost_pca;pca;41;0,9559123161484926
0;1,0;1,0;1,0;145,0;1,0;0,9696969696969697;0,9846153846153847;33,0;XGBoost_rf;selector;39;
1;1,0;1,0;1,0;154,0;0,9032258064516129;1,0;0,9491525423728813;28,0;XGBoost_rf;selector;39;
2;1,0;1,0;1,0;144,0;1,0;1,0;1,0;33,0;XGBoost_rf;selector;39;
3;1,0;1,0;1,0;149,0;1,0;0,9411764705882353;0,9696969696969697;34,0;XGBoost_rf;selector;39;
4;1,0;1,0;1,0;135,0;0,9782608695652174;0,9782608695652174;0,9782608695652174;46,0;XGBoost_rf;selector;39;
5;1,0;1,0;1,0;135,0;0,9375;0,9574468085106383;0,9473684210526315;47,0;XGBoost_rf;selector;39;
6;1,0;1,0;1,0;146,0;0,9705882352941176;0,9428571428571428;0,9565217391304348;35,0;XGBoost_rf;selector;39;
7;1,0;1,0;1,0;145,0;0,9428571428571428;0,9705882352941176;0,9565217391304348;34,0;XGBoost_rf;selector;39;
8;1,0;1,0;1,0;144,0;0,9310344827586207;0,9;0,9152542372881356;30,0;XGBoost_rf;selector;39;
9;1,0;1,0;1,0;140,0;0,95;0,95;0,9500000000000001;40,0;XGBoost_rf;selector;39;
