Metric,f1-score-train,precision-train,recall-train,support-train,f1-score-test,precision-test,recall-test,support-test,Model
balanced_accuracy,1.0,,,,0.9616294177245365,,,,Random Forest_pca
kappa,1.0,,,,0.9566477717470776,,,,Random Forest_pca
accuracy,1.0,1.0,1.0,1.0,0.9611111111111111,0.9611111111111111,0.9611111111111111,0.9611111111111111,Random Forest_pca
macro avg,1.0,1.0,1.0,1437.0,0.9626915007611629,0.9648810163291157,0.9616294177245365,360.0,Random Forest_pca
weighted avg,1.0,1.0,1.0,1437.0,0.9613291892762352,0.9626667780828201,0.9611111111111111,360.0,Random Forest_pca
balanced_accuracy,1.0,,,,0.9769358749302428,,,,Random Forest_rf
kappa,1.0,,,,0.9752266588676519,,,,Random Forest_rf
accuracy,1.0,1.0,1.0,1.0,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,Random Forest_rf
macro avg,1.0,1.0,1.0,1437.0,0.97754096654219,0.9787406877644675,0.9769358749302428,360.0,Random Forest_rf
weighted avg,1.0,1.0,1.0,1437.0,0.977794474509752,0.9783229905437352,0.9777777777777777,360.0,Random Forest_rf
balanced_accuracy,1.0,,,,0.9515601076020351,,,,XGBoost_pca
kappa,1.0,,,,0.9473430616740088,,,,XGBoost_pca
accuracy,1.0,1.0,1.0,1.0,0.9527777777777777,0.9527777777777777,0.9527777777777777,0.9527777777777777,XGBoost_pca
macro avg,1.0,1.0,1.0,1437.0,0.9531783019665252,0.9565974486506402,0.9515601076020351,360.0,XGBoost_pca
weighted avg,1.0,1.0,1.0,1437.0,0.9528892618724778,0.9546257202214649,0.9527777777777777,360.0,XGBoost_pca
balanced_accuracy,1.0,,,,0.9676343023122966,,,,XGBoost_rf
kappa,1.0,,,,0.9628521308430502,,,,XGBoost_rf
accuracy,1.0,1.0,1.0,1.0,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,XGBoost_rf
macro avg,1.0,1.0,1.0,1437.0,0.9669808229709188,0.9671634117228102,0.9676343023122966,360.0,XGBoost_rf
weighted avg,1.0,1.0,1.0,1437.0,0.9667344980612981,0.9674893982958499,0.9666666666666667,360.0,XGBoost_rf
