Metric;f1-score-train;precision-train;recall-train;support-train;f1-score-test;precision-test;recall-test;support-test;Model
balanced_accuracy;0,9985912698412698;;;;0,9743702791014647;;;;Logistic Regression_rfe
kappa;0,9984533003255927;;;;0,9690423775454046;;;;Logistic Regression_rfe
accuracy;0,9986082115518441;0,9986082115518441;0,9986082115518441;0,9986082115518441;0,9722222222222222;0,9722222222222222;0,9722222222222222;0,9722222222222222;Logistic Regression_rfe
macro avg;0,9986235080210182;0,998660394265233;0,9985912698412698;1437,0;0,9739667047321123;0,9737200195827308;0,9743702791014647;360,0;Logistic Regression_rfe
weighted avg;0,9986080904720126;0,9986127011919994;0,9986082115518441;1437,0;0,9722963303758159;0,9725212596953555;0,9722222222222222;360,0;Logistic Regression_rfe
balanced_accuracy;0,9985912698412698;;;;0,9743702791014647;;;;Logistic Regression_pca
kappa;0,9984533003255927;;;;0,9690405139274688;;;;Logistic Regression_pca
accuracy;0,9986082115518441;0,9986082115518441;0,9986082115518441;0,9986082115518441;0,9722222222222222;0,9722222222222222;0,9722222222222222;0,9722222222222222;Logistic Regression_pca
macro avg;0,9986235080210182;0,998660394265233;0,9985912698412698;1437,0;0,9741541019090578;0,9740867381435333;0,9743702791014647;360,0;Logistic Regression_pca
weighted avg;0,9986080904720126;0,9986127011919994;0,9986082115518441;1437,0;0,9723129356750723;0,9725494891443167;0,9722222222222222;360,0;Logistic Regression_pca
balanced_accuracy;0,9978968253968254;;;;0,978625598250401;;;;Logistic Regression_rf
kappa;0,9976799380025186;;;;0,975230920068115;;;;Logistic Regression_rf
accuracy;0,9979123173277662;0,9979123173277662;0,9979123173277662;0,9979123173277662;0,9777777777777777;0,9777777777777777;0,9777777777777777;0,9777777777777777;Logistic Regression_rf
macro avg;0,997951119603362;0,998018648018648;0,9978968253968254;1437,0;0,9785583879405924;0,9787335199331724;0,978625598250401;360,0;Logistic Regression_rf
weighted avg;0,99791192276783;0,9979252943762339;0,9979123173277662;1437,0;0,9778291501740484;0,9781424742015874;0,9777777777777777;360,0;Logistic Regression_rf
balanced_accuracy;0,9985912698412698;;;;0,9743702791014647;;;;Logistic Regression_mi
kappa;0,9984533003255927;;;;0,9690423775454046;;;;Logistic Regression_mi
accuracy;0,9986082115518441;0,9986082115518441;0,9986082115518441;0,9986082115518441;0,9722222222222222;0,9722222222222222;0,9722222222222222;0,9722222222222222;Logistic Regression_mi
macro avg;0,9986235080210182;0,998660394265233;0,9985912698412698;1437,0;0,9739667047321123;0,9737200195827308;0,9743702791014647;360,0;Logistic Regression_mi
weighted avg;0,9986080904720126;0,9986127011919994;0,9986082115518441;1437,0;0,9722963303758159;0,9725212596953555;0,9722222222222222;360,0;Logistic Regression_mi
balanced_accuracy;0,9985912698412698;;;;0,9743702791014647;;;;Logistic Regression_none
kappa;0,9984533003255927;;;;0,9690423775454046;;;;Logistic Regression_none
accuracy;0,9986082115518441;0,9986082115518441;0,9986082115518441;0,9986082115518441;0,9722222222222222;0,9722222222222222;0,9722222222222222;0,9722222222222222;Logistic Regression_none
macro avg;0,9986235080210182;0,998660394265233;0,9985912698412698;1437,0;0,9739667047321123;0,9737200195827308;0,9743702791014647;360,0;Logistic Regression_none
weighted avg;0,9986080904720126;0,9986127011919994;0,9986082115518441;1437,0;0,9722963303758159;0,9725212596953555;0,9722222222222222;360,0;Logistic Regression_none
balanced_accuracy;0,9064335831381449;;;;0,8288214729168095;;;;Decision Tree_rfe
kappa;0,8963694486900738;;;;0,8020720581413329;;;;Decision Tree_rfe
accuracy;0,9067501739735561;0,9067501739735561;0,9067501739735561;0,9067501739735561;0,8222222222222222;0,8222222222222222;0,8222222222222222;0,8222222222222222;Decision Tree_rfe
macro avg;0,9065155925626327;0,9077618291770296;0,9064335831381449;1437,0;0,8263894236641866;0,8313952351938596;0,8288214729168095;360,0;Decision Tree_rfe
weighted avg;0,9067602424996009;0,9079645183786627;0,9067501739735561;1437,0;0,8243496923104467;0,8332129933055968;0,8222222222222222;360,0;Decision Tree_rfe
balanced_accuracy;0,9502027038328725;;;;0,7438116574524856;;;;Decision Tree_pca
kappa;0,9450898861347213;;;;0,7124551247917275;;;;Decision Tree_pca
accuracy;0,9505915100904663;0,9505915100904663;0,9505915100904663;0,9505915100904663;0,7416666666666667;0,7416666666666667;0,7416666666666667;0,7416666666666667;Decision Tree_pca
macro avg;0,9503618864113544;0,951478197384201;0,9502027038328725;1437,0;0,7396509915857338;0,74266048481557;0,7438116574524856;360,0;Decision Tree_pca
weighted avg;0,9505612600498283;0,9515106823701995;0,9505915100904663;1437,0;0,741829141700913;0,7494449472170276;0,7416666666666667;360,0;Decision Tree_pca
balanced_accuracy;0,9824963302980544;;;;0,8525380416231754;;;;Decision Tree_rf
