Model;CV Score;balanced_accuracy-train;f1-score-train;precision-train;recall-train;balanced_accuracy-test;f1-score-test;precision-test;recall-test
Logistic Regression_rfe;0,969;0,999;0,999;0,999;0,999;0,974;0,972;0,973;0,972
Logistic Regression_pca;0,970;0,999;0,999;0,999;0,999;0,974;0,972;0,973;0,972
Logistic Regression_rf;0,965;0,998;0,998;0,998;0,998;0,979;0,978;0,978;0,978
Logistic Regression_mi;0,970;0,999;0,999;0,999;0,999;0,974;0,972;0,973;0,972
Logistic Regression_none;0,968;0,999;0,999;0,999;0,999;0,974;0,972;0,973;0,972
Decision Tree_rfe;0,821;1,000;1,000;1,000;1,000;0,837;0,841;0,850;0,839
Decision Tree_pca;0,771;0,965;0,965;0,966;0,965;0,802;0,802;0,810;0,800
Decision Tree_rf;0,819;0,961;0,961;0,962;0,961;0,814;0,809;0,812;0,808
Decision Tree_mi;0,822;0,963;0,963;0,964;0,963;0,804;0,802;0,808;0,803
Decision Tree_none;0,811;0,886;0,886;0,888;0,887;0,785;0,782;0,793;0,783
Random Forest_rfe;0,974;1,000;1,000;1,000;1,000;0,978;0,978;0,978;0,978
Random Forest_pca;0,970;1,000;1,000;1,000;1,000;0,966;0,964;0,964;0,964
Random Forest_rf;0,972;1,000;1,000;1,000;1,000;0,976;0,975;0,975;0,975
Random Forest_mi;0,975;1,000;1,000;1,000;1,000;0,970;0,969;0,970;0,969
Random Forest_none;0,977;1,000;1,000;1,000;1,000;0,972;0,972;0,973;0,972
Gradient Boosting_rfe;0,968;1,000;1,000;1,000;1,000;0,972;0,972;0,973;0,972
Gradient Boosting_pca;0,947;1,000;1,000;1,000;1,000;0,954;0,953;0,954;0,953
Gradient Boosting_rf;0,968;1,000;1,000;1,000;1,000;0,973;0,972;0,973;0,972
Gradient Boosting_mi;0,968;1,000;1,000;1,000;1,000;0,976;0,975;0,976;0,975
Gradient Boosting_none;0,968;1,000;1,000;1,000;1,000;0,976;0,975;0,976;0,975
SVM_rfe;0,989;1,000;1,000;1,000;1,000;0,984;0,983;0,984;0,983
SVM_pca;0,983;0,996;0,997;0,997;0,997;0,975;0,975;0,975;0,975
SVM_rf;0,987;1,000;1,000;1,000;1,000;0,989;0,989;0,989;0,989
SVM_mi;0,990;1,000;1,000;1,000;1,000;0,984;0,983;0,984;0,983
SVM_none;0,982;1,000;1,000;1,000;1,000;0,975;0,975;0,975;0,975
KNN_rfe;0,984;1,000;1,000;1,000;1,000;0,979;0,978;0,978;0,978
KNN_pca;0,973;1,000;1,000;1,000;1,000;0,977;0,975;0,975;0,975
KNN_rf;0,984;1,000;1,000;1,000;1,000;0,984;0,983;0,983;0,983
KNN_mi;0,984;0,991;0,991;0,991;0,991;0,973;0,972;0,972;0,972
KNN_none;0,975;1,000;1,000;1,000;1,000;0,976;0,975;0,976;0,975
XGBoost_rfe;0,966;1,000;1,000;1,000;1,000;0,972;0,972;0,973;0,972
XGBoost_pca;0,956;1,000;1,000;1,000;1,000;0,961;0,961;0,962;0,961
XGBoost_rf;0,967;1,000;1,000;1,000;1,000;0,972;0,972;0,973;0,972
XGBoost_mi;0,970;1,000;1,000;1,000;1,000;0,976;0,975;0,975;0,975
XGBoost_none;0,970;1,000;1,000;1,000;1,000;0,972;0,972;0,972;0,972
Naive Bayes_rfe;0,901;0,914;0,914;0,916;0,914;0,912;0,912;0,919;0,911
Naive Bayes_pca;0,900;0,926;0,926;0,929;0,926;0,908;0,907;0,912;0,906
Naive Bayes_rf;0,904;0,911;0,911;0,915;0,910;0,890;0,895;0,901;0,894
Naive Bayes_mi;0,899;0,906;0,905;0,909;0,905;0,897;0,903;0,907;0,903
Naive Bayes_none;0,830;0,842;0,843;0,875;0,842;0,839;0,840;0,869;0,839
MLP_rfe;0,982;1,000;1,000;1,000;1,000;0,977;0,978;0,978;0,978
MLP_pca;0,979;1,000;1,000;1,000;1,000;0,982;0,981;0,981;0,981
MLP_rf;0,978;1,000;1,000;1,000;1,000;0,979;0,978;0,978;0,978
MLP_mi;0,980;1,000;1,000;1,000;1,000;0,981;0,981;0,981;0,981
MLP_none;0,983;1,000;1,000;1,000;1,000;0,983;0,983;0,984;0,983
