Metric;precision-train;recall-train;f1-score-train;support-train;precision-test;recall-test;f1-score-test;support-test;Model;Feature_Selection_Type;N_Features;Total_Variance_Explained
0;1,000;1,000;1,000;145,000;1,000;1,000;1,000;33,000;Logistic Regression_rfe;selector;50;
1;0,994;1,000;0,997;154,000;0,966;1,000;0,982;28,000;Logistic Regression_rfe;selector;50;
2;1,000;1,000;1,000;144,000;1,000;1,000;1,000;33,000;Logistic Regression_rfe;selector;50;
3;1,000;1,000;1,000;149,000;0,971;0,971;0,971;34,000;Logistic Regression_rfe;selector;50;
4;1,000;1,000;1,000;135,000;1,000;0,978;0,989;46,000;Logistic Regression_rfe;selector;50;
5;1,000;1,000;1,000;135,000;0,936;0,936;0,936;47,000;Logistic Regression_rfe;selector;50;
6;1,000;1,000;1,000;146,000;0,971;0,971;0,971;35,000;Logistic Regression_rfe;selector;50;
7;1,000;1,000;1,000;145,000;1,000;0,971;0,985;34,000;Logistic Regression_rfe;selector;50;
8;0,993;0,993;0,993;144,000;0,967;0,967;0,967;30,000;Logistic Regression_rfe;selector;50;
9;1,000;0,993;0,996;140,000;0,927;0,950;0,938;40,000;Logistic Regression_rfe;selector;50;
0;1,000;1,000;1,000;145,000;1,000;1,000;1,000;33,000;Logistic Regression_pca;pca;54;0,991
1;0,994;1,000;0,997;154,000;0,966;1,000;0,982;28,000;Logistic Regression_pca;pca;54;0,991
2;1,000;1,000;1,000;144,000;1,000;1,000;1,000;33,000;Logistic Regression_pca;pca;54;0,991
3;1,000;1,000;1,000;149,000;0,971;0,971;0,971;34,000;Logistic Regression_pca;pca;54;0,991
4;1,000;1,000;1,000;135,000;1,000;0,978;0,989;46,000;Logistic Regression_pca;pca;54;0,991
5;1,000;1,000;1,000;135,000;0,917;0,936;0,926;47,000;Logistic Regression_pca;pca;54;0,991
6;1,000;1,000;1,000;146,000;0,971;0,971;0,971;35,000;Logistic Regression_pca;pca;54;0,991
7;1,000;1,000;1,000;145,000;1,000;0,971;0,985;34,000;Logistic Regression_pca;pca;54;0,991
8;0,993;0,993;0,993;144,000;0,967;0,967;0,967;30,000;Logistic Regression_pca;pca;54;0,991
9;1,000;0,993;0,996;140,000;0,950;0,950;0,950;40,000;Logistic Regression_pca;pca;54;0,991
0;1,000;1,000;1,000;145,000;1,000;1,000;1,000;33,000;Logistic Regression_rf;selector;42;
1;0,987;1,000;0,994;154,000;0,966;1,000;0,982;28,000;Logistic Regression_rf;selector;42;
2;1,000;1,000;1,000;144,000;1,000;1,000;1,000;33,000;Logistic Regression_rf;selector;42;
3;1,000;1,000;1,000;149,000;0,971;0,971;0,971;34,000;Logistic Regression_rf;selector;42;
4;1,000;1,000;1,000;135,000;1,000;0,978;0,989;46,000;Logistic Regression_rf;selector;42;
5;1,000;1,000;1,000;135,000;0,939;0,979;0,958;47,000;Logistic Regression_rf;selector;42;
6;1,000;1,000;1,000;146,000;0,971;0,971;0,971;35,000;Logistic Regression_rf;selector;42;
7;1,000;1,000;1,000;145,000;1,000;0,971;0,985;34,000;Logistic Regression_rf;selector;42;
8;0,993;0,986;0,990;144,000;0,967;0,967;0,967;30,000;Logistic Regression_rf;selector;42;
9;1,000;0,993;0,996;140,000;0,974;0,950;0,962;40,000;Logistic Regression_rf;selector;42;
0;1,000;1,000;1,000;145,000;1,000;1,000;1,000;33,000;Logistic Regression_mi;selector;50;
1;0,994;1,000;0,997;154,000;0,966;1,000;0,982;28,000;Logistic Regression_mi;selector;50;
2;1,000;1,000;1,000;144,000;1,000;1,000;1,000;33,000;Logistic Regression_mi;selector;50;
3;1,000;1,000;1,000;149,000;0,971;0,971;0,971;34,000;Logistic Regression_mi;selector;50;
4;1,000;1,000;1,000;135,000;1,000;0,978;0,989;46,000;Logistic Regression_mi;selector;50;
