Metric,f1-score-train,precision-train,recall-train,support-train,f1-score-test,precision-test,recall-test,support-test,Model
balanced_accuracy,1.0,,,,0.9645012840726233,,,,Random Forest_pca
kappa,1.0,,,,0.9597505912706945,,,,Random Forest_pca
accuracy,1.0,1.0,1.0,1.0,0.9638888888888889,0.9638888888888889,0.9638888888888889,0.9638888888888889,Random Forest_pca
macro avg,1.0,1.0,1.0,1437.0,0.9646471648382866,0.9652346683354193,0.9645012840726233,360.0,Random Forest_pca
weighted avg,1.0,1.0,1.0,1437.0,0.9639653016927909,0.9644467787114845,0.9638888888888889,360.0,Random Forest_pca
balanced_accuracy,1.0,,,,0.9714946984596546,,,,Random Forest_rf
kappa,1.0,,,,0.9690359870639235,,,,Random Forest_rf
accuracy,1.0,1.0,1.0,1.0,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,Random Forest_rf
macro avg,1.0,1.0,1.0,1437.0,0.9716626129538783,0.9724552000945984,0.9714946984596546,360.0,Random Forest_rf
weighted avg,1.0,1.0,1.0,1437.0,0.9722082813840128,0.9727591546350717,0.9722222222222222,360.0,Random Forest_rf
balanced_accuracy,1.0,,,,0.9462531763188835,,,,XGBoost_pca
kappa,1.0,,,,0.941167869399551,,,,XGBoost_pca
accuracy,1.0,1.0,1.0,1.0,0.9472222222222222,0.9472222222222222,0.9472222222222222,0.9472222222222222,XGBoost_pca
macro avg,1.0,1.0,1.0,1437.0,0.9467206722124727,0.948042948389693,0.9462531763188835,360.0,XGBoost_pca
weighted avg,1.0,1.0,1.0,1437.0,0.9473874613211049,0.9483520769631348,0.9472222222222222,360.0,XGBoost_pca
balanced_accuracy,1.0,,,,0.9629405728316052,,,,XGBoost_rf
kappa,1.0,,,,0.9566645457515778,,,,XGBoost_rf
accuracy,1.0,1.0,1.0,1.0,0.9611111111111111,0.9611111111111111,0.9611111111111111,0.9611111111111111,XGBoost_rf
macro avg,1.0,1.0,1.0,1437.0,0.9618964127472788,0.96190663488879,0.9629405728316052,360.0,XGBoost_rf
weighted avg,1.0,1.0,1.0,1437.0,0.9610936660499191,0.9619779344510528,0.9611111111111111,360.0,XGBoost_rf
