Metric,precision-train,recall-train,f1-score-train,support-train,precision-test,recall-test,f1-score-test,support-test,Model
accuracy,0.92,0.92,0.92,0.92,0.78,0.78,0.78,0.78,Decision Tree_rfe
macro avg,0.92,0.92,0.92,12765.0,0.73,0.79,0.75,1098.0,Decision Tree_rfe
weighted avg,0.92,0.92,0.92,12765.0,0.79,0.78,0.78,1098.0,Decision Tree_rfe
balanced_accuracy,,,0.92,,,,0.79,,Decision Tree_rfe
accuracy,0.91,0.91,0.91,0.91,0.69,0.69,0.69,0.69,Decision Tree_pca
macro avg,0.91,0.91,0.91,12765.0,0.62,0.69,0.65,1098.0,Decision Tree_pca
weighted avg,0.91,0.91,0.91,12765.0,0.72,0.69,0.7,1098.0,Decision Tree_pca
balanced_accuracy,,,0.91,,,,0.69,,Decision Tree_pca
accuracy,0.97,0.97,0.97,0.97,0.84,0.84,0.84,0.84,Random Forest_rfe
macro avg,0.97,0.97,0.97,12765.0,0.79,0.84,0.82,1098.0,Random Forest_rfe
weighted avg,0.97,0.97,0.97,12765.0,0.85,0.84,0.84,1098.0,Random Forest_rfe
balanced_accuracy,,,0.97,,,,0.84,,Random Forest_rfe
accuracy,0.96,0.96,0.96,0.96,0.78,0.78,0.78,0.78,Random Forest_pca
macro avg,0.96,0.96,0.96,12765.0,0.72,0.78,0.74,1098.0,Random Forest_pca
weighted avg,0.96,0.96,0.96,12765.0,0.79,0.78,0.78,1098.0,Random Forest_pca
balanced_accuracy,,,0.96,,,,0.78,,Random Forest_pca
