Metric;f1-score-train;precision-train;recall-train;support-train;f1-score-test;precision-test;recall-test;support-test;Model
balanced_accuracy;1,0;;;;0,9865437180674977;;;;Random Forest_rfe
kappa;1,0;;;;0,9845162622257013;;;;Random Forest_rfe
accuracy;1,0;1,0;1,0;1,0;0,9861111111111112;0,9861111111111112;0,9861111111111112;0,9861111111111112;Random Forest_rfe
macro avg;1,0;1,0;1,0;1437,0;0,9873565391420266;0,9883485309017223;0,9865437180674977;360,0;Random Forest_rfe
weighted avg;1,0;1,0;1,0;1437,0;0,9861281155596812;0,9863425925925927;0,9861111111111112;360,0;Random Forest_rfe
balanced_accuracy;1,0;;;;0,9688862295401719;;;;Random Forest_pca
kappa;1,0;;;;0,9628572411184098;;;;Random Forest_pca
accuracy;1,0;1,0;1,0;1,0;0,9666666666666667;0,9666666666666667;0,9666666666666667;0,9666666666666667;Random Forest_pca
macro avg;1,0;1,0;1,0;1437,0;0,9679716128976817;0,9676029931303765;0,9688862295401719;360,0;Random Forest_pca
weighted avg;1,0;1,0;1,0;1437,0;0,9667704160441328;0,967470454163321;0,9666666666666667;360,0;Random Forest_pca
balanced_accuracy;1,0;;;;0,9836025415969095;;;;Random Forest_rf
kappa;1,0;;;;0,9814174366386208;;;;Random Forest_rf
accuracy;1,0;1,0;1,0;1,0;0,9833333333333333;0,9833333333333333;0,9833333333333333;0,9833333333333333;Random Forest_rf
macro avg;1,0;1,0;1,0;1437,0;0,9848337666662197;0,9863095238095239;0,9836025415969095;360,0;Random Forest_rf
weighted avg;1,0;1,0;1,0;1437,0;0,9833734677461174;0,9836805555555556;0,9833333333333333;360,0;Random Forest_rf
balanced_accuracy;1,0;;;;0,9802692082635762;;;;Random Forest_mi
kappa;1,0;;;;0,9783229535835942;;;;Random Forest_mi
accuracy;1,0;1,0;1,0;1,0;0,9805555555555555;0,9805555555555555;0,9805555555555555;0,9805555555555555;Random Forest_mi
macro avg;1,0;1,0;1,0;1437,0;0,9809882170471784;0,9819590785690652;0,9802692082635762;360,0;Random Forest_mi
weighted avg;1,0;1,0;1,0;1437,0;0,9805730782696227;0,9808261833917556;0,9805555555555555;360,0;Random Forest_mi
balanced_accuracy;1,0;;;;0,9777692082635762;;;;Random Forest_none
kappa;1,0;;;;0,9752247408490687;;;;Random Forest_none
accuracy;1,0;1,0;1,0;1,0;0,9777777777777777;0,9777777777777777;0,9777777777777777;0,9777777777777777;Random Forest_none
macro avg;1,0;1,0;1,0;1437,0;0,9786819767629236;0,9799391936920376;0,9777692082635762;360,0;Random Forest_none
weighted avg;1,0;1,0;1,0;1437,0;0,9778144389674289;0,9782015758564339;0,9777777777777777;360,0;Random Forest_none
