Metric;precision-train;recall-train;f1-score-train;support-train;precision-test;recall-test;f1-score-test;support-test;Model;Feature_Selection_Type;N_Features;Total_Variance_Explained
0;1,0;1,0;1,0;145,0;1,0;0,9696969696969697;0,9846153846153847;33,0;Random Forest_rfe;selector;40;
1;1,0;1,0;1,0;154,0;1,0;1,0;1,0;28,0;Random Forest_rfe;selector;40;
2;1,0;1,0;1,0;144,0;1,0;1,0;1,0;33,0;Random Forest_rfe;selector;40;
3;1,0;1,0;1,0;149,0;1,0;1,0;1,0;34,0;Random Forest_rfe;selector;40;
4;1,0;1,0;1,0;135,0;0,9583333333333334;1,0;0,9787234042553191;46,0;Random Forest_rfe;selector;40;
5;1,0;1,0;1,0;135,0;0,9787234042553191;0,9787234042553191;0,9787234042553191;47,0;Random Forest_rfe;selector;40;
6;1,0;1,0;1,0;146,0;0,9714285714285714;0,9714285714285714;0,9714285714285714;35,0;Random Forest_rfe;selector;40;
7;1,0;1,0;1,0;145,0;1,0;0,9705882352941176;0,9850746268656716;34,0;Random Forest_rfe;selector;40;
8;1,0;1,0;1,0;144,0;1,0;1,0;1,0;30,0;Random Forest_rfe;selector;40;
9;1,0;1,0;1,0;140,0;0,975;0,975;0,975;40,0;Random Forest_rfe;selector;40;
0;1,0;1,0;1,0;145,0;0,9705882352941176;1,0;0,9850746268656716;33,0;Random Forest_pca;pca;54;0,9910942382346755
1;1,0;1,0;1,0;154,0;0,9655172413793104;1,0;0,9824561403508771;28,0;Random Forest_pca;pca;54;0,9910942382346755
2;1,0;1,0;1,0;144,0;1,0;0,9696969696969697;0,9846153846153847;33,0;Random Forest_pca;pca;54;0,9910942382346755
3;1,0;1,0;1,0;149,0;1,0;0,9705882352941176;0,9850746268656716;34,0;Random Forest_pca;pca;54;0,9910942382346755
4;1,0;1,0;1,0;135,0;1,0;1,0;1,0;46,0;Random Forest_pca;pca;54;0,9910942382346755
5;1,0;1,0;1,0;135,0;0,9772727272727273;0,9148936170212766;0,945054945054945;47,0;Random Forest_pca;pca;54;0,9910942382346755
6;1,0;1,0;1,0;146,0;0,9444444444444444;0,9714285714285714;0,9577464788732395;35,0;Random Forest_pca;pca;54;0,9910942382346755
7;1,0;1,0;1,0;145,0;0,9705882352941176;0,9705882352941176;0,9705882352941176;34,0;Random Forest_pca;pca;54;0,9910942382346755
8;1,0;1,0;1,0;144,0;0,9666666666666667;0,9666666666666667;0,9666666666666667;30,0;Random Forest_pca;pca;54;0,9910942382346755
9;1,0;1,0;1,0;140,0;0,8809523809523809;0,925;0,9024390243902439;40,0;Random Forest_pca;pca;54;0,9910942382346755
0;1,0;1,0;1,0;145,0;1,0;0,9696969696969697;0,9846153846153847;33,0;Random Forest_rf;selector;42;
1;1,0;1,0;1,0;154,0;1,0;1,0;1,0;28,0;Random Forest_rf;selector;42;
2;1,0;1,0;1,0;144,0;1,0;1,0;1,0;33,0;Random Forest_rf;selector;42;
3;1,0;1,0;1,0;149,0;1,0;0,9705882352941176;0,9850746268656716;34,0;Random Forest_rf;selector;42;
4;1,0;1,0;1,0;135,0;0,9583333333333334;1,0;0,9787234042553191;46,0;Random Forest_rf;selector;42;
5;1,0;1,0;1,0;135,0;0,9583333333333334;0,9787234042553191;0,968421052631579;47,0;Random Forest_rf;selector;42;
6;1,0;1,0;1,0;146,0;0,9714285714285714;0,9714285714285714;0,9714285714285714;35,0;Random Forest_rf;selector;42;
7;1,0;1,0;1,0;145,0;1,0;0,9705882352941176;0,9850746268656716;34,0;Random Forest_rf;selector;42;
8;1,0;1,0;1,0;144,0;1,0;1,0;1,0;30,0;Random Forest_rf;selector;42;
9;1,0;1,0;1,0;140,0;0,975;0,975;0,975;40,0;Random Forest_rf;selector;42;
0;1,0;1,0;1,0;145,0;1,0;0,9696969696969697;0,9846153846153847;33,0;Random Forest_mi;selector;40;
