Metric;f1-score-train;precision-train;recall-train;support-train;f1-score-test;precision-test;recall-test;support-test;Model
balanced_accuracy;1,0;;;;0,977328031792988;;;;Random Forest_rfe
kappa;1,0;;;;0,9752270850536746;;;;Random Forest_rfe
accuracy;1,0;1,0;1,0;1,0;0,9777777777777777;0,9777777777777777;0,9777777777777777;0,9777777777777777;Random Forest_rfe
macro avg;1,0;1,0;1,0;1437,0;0,9778120332512122;0,9786257452357319;0,977328031792988;360,0;Random Forest_rfe
weighted avg;1,0;1,0;1,0;1437,0;0,9777553955822207;0,9780484056139779;0,9777777777777777;360,0;Random Forest_rfe
balanced_accuracy;1,0;;;;0,9664753560998868;;;;Random Forest_pca
kappa;1,0;;;;0,9597599353407508;;;;Random Forest_pca
accuracy;1,0;1,0;1,0;1,0;0,9638888888888889;0,9638888888888889;0,9638888888888889;0,9638888888888889;Random Forest_pca
macro avg;1,0;1,0;1,0;1437,0;0,9656354199866692;0,9652281484322028;0,9664753560998868;360,0;Random Forest_pca
weighted avg;1,0;1,0;1,0;1437,0;0,9638876407528248;0,9643233388585203;0,9638888888888889;360,0;Random Forest_pca
balanced_accuracy;1,0;;;;0,9777692082635762;;;;Random Forest_rf
kappa;1,0;;;;0,9752247408490687;;;;Random Forest_rf
accuracy;1,0;1,0;1,0;1,0;0,9777777777777777;0,9777777777777777;0,9777777777777777;0,9777777777777777;Random Forest_rf
macro avg;1,0;1,0;1,0;1437,0;0,9786819767629236;0,9799391936920376;0,9777692082635762;360,0;Random Forest_rf
weighted avg;1,0;1,0;1,0;1437,0;0,9778144389674289;0,9782015758564339;0,9777777777777777;360,0;Random Forest_rf
balanced_accuracy;1,0;;;;0,9802692082635762;;;;Random Forest_mi
kappa;1,0;;;;0,9783207157604955;;;;Random Forest_mi
accuracy;1,0;1,0;1,0;1,0;0,9805555555555555;0,9805555555555555;0,9805555555555555;0,9805555555555555;Random Forest_mi
macro avg;1,0;1,0;1,0;1437,0;0,9813844654470701;0,9828612479474549;0,9802692082635762;360,0;Random Forest_mi
weighted avg;1,0;1,0;1,0;1437,0;0,9805965159504323;0,9809985632183909;0,9805555555555555;360,0;Random Forest_mi
balanced_accuracy;1,0;;;;0,9727003722185199;;;;Random Forest_none
kappa;1,0;;;;0,9690338563170933;;;;Random Forest_none
accuracy;1,0;1,0;1,0;1,0;0,9722222222222222;0,9722222222222222;0,9722222222222222;0,9722222222222222;Random Forest_none
macro avg;1,0;1,0;1,0;1437,0;0,9732067700933176;0,9740424119023985;0,9727003722185199;360,0;Random Forest_none
weighted avg;1,0;1,0;1,0;1437,0;0,9722290797927471;0,9725507204287926;0,9722222222222222;360,0;Random Forest_none
