Metric,f1-score-train,precision-train,recall-train,support-train,f1-score-test,precision-test,recall-test,support-test,Model
balanced_accuracy,1.0,,,,0.8233433172276564,,,,Decision Tree_pca
kappa,1.0,,,,0.8020346439373109,,,,Decision Tree_pca
accuracy,1.0,1.0,1.0,1.0,0.8222222222222222,0.8222222222222222,0.8222222222222222,0.8222222222222222,Decision Tree_pca
macro avg,1.0,1.0,1.0,1437.0,0.8220546789311202,0.8237400001425839,0.8233433172276564,360.0,Decision Tree_pca
weighted avg,1.0,1.0,1.0,1437.0,0.8242315158245308,0.8291665237338779,0.8222222222222222,360.0,Decision Tree_pca
balanced_accuracy,1.0,,,,0.8734926592788321,,,,Decision Tree_rf
kappa,1.0,,,,0.8638227632630955,,,,Decision Tree_rf
accuracy,1.0,1.0,1.0,1.0,0.8777777777777778,0.8777777777777778,0.8777777777777778,0.8777777777777778,Decision Tree_rf
macro avg,1.0,1.0,1.0,1437.0,0.8719792518420695,0.8734749174062516,0.8734926592788321,360.0,Decision Tree_rf
weighted avg,1.0,1.0,1.0,1437.0,0.877899687191919,0.8807254892011375,0.8777777777777778,360.0,Decision Tree_rf
balanced_accuracy,1.0,,,,0.9680528962068384,,,,Random Forest_pca
kappa,1.0,,,,0.9628486167129625,,,,Random Forest_pca
accuracy,1.0,1.0,1.0,1.0,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,Random Forest_pca
macro avg,1.0,1.0,1.0,1437.0,0.967937637891642,0.9685482888807698,0.9680528962068384,360.0,Random Forest_pca
weighted avg,1.0,1.0,1.0,1437.0,0.9667440111539247,0.967466677492253,0.9666666666666667,360.0,Random Forest_pca
balanced_accuracy,1.0,,,,0.9752692082635763,,,,Random Forest_rf
kappa,1.0,,,,0.9721266345492086,,,,Random Forest_rf
accuracy,1.0,1.0,1.0,1.0,0.975,0.975,0.975,0.975,Random Forest_rf
macro avg,1.0,1.0,1.0,1437.0,0.9762773859993356,0.9778327102165729,0.9752692082635763,360.0,Random Forest_rf
weighted avg,1.0,1.0,1.0,1437.0,0.9749917172298576,0.9755755314325771,0.975,360.0,Random Forest_rf
balanced_accuracy,1.0,,,,0.9408774089906757,,,,Gradient Boosting_pca
kappa,1.0,,,,0.931906112973949,,,,Gradient Boosting_pca
accuracy,1.0,1.0,1.0,1.0,0.9388888888888889,0.9388888888888889,0.9388888888888889,0.9388888888888889,Gradient Boosting_pca
macro avg,1.0,1.0,1.0,1437.0,0.9398441918042438,0.9410866261398176,0.9408774089906757,360.0,Gradient Boosting_pca
weighted avg,1.0,1.0,1.0,1437.0,0.9390383144952712,0.9412561916019363,0.9388888888888889,360.0,Gradient Boosting_pca
balanced_accuracy,1.0,,,,0.9714484449906443,,,,Gradient Boosting_rf
kappa,1.0,,,,0.9690429099664631,,,,Gradient Boosting_rf
accuracy,1.0,1.0,1.0,1.0,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,Gradient Boosting_rf
macro avg,1.0,1.0,1.0,1437.0,0.9707796137374762,0.9710582496025705,0.9714484449906443,360.0,Gradient Boosting_rf
weighted avg,1.0,1.0,1.0,1437.0,0.9724121237896051,0.9734530233378158,0.9722222222222222,360.0,Gradient Boosting_rf
balanced_accuracy,1.0,,,,0.986548811013767,,,,SVM_pca
kappa,1.0,,,,0.9845209225530158,,,,SVM_pca
accuracy,1.0,1.0,1.0,1.0,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9861111111111112,SVM_pca
macro avg,1.0,1.0,1.0,1437.0,0.9860960361070372,0.9858972766952501,0.986548811013767,360.0,SVM_pca
weighted avg,1.0,1.0,1.0,1437.0,0.9860736716700198,0.9862754016019355,0.9861111111111112,360.0,SVM_pca
balanced_accuracy,1.0,,,,0.9891176470588234,,,,SVM_rf
kappa,1.0,,,,0.9876149274527174,,,,SVM_rf
accuracy,1.0,1.0,1.0,1.0,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9888888888888889,SVM_rf
macro avg,1.0,1.0,1.0,1437.0,0.9892675471254458,0.9894702111613876,0.9891176470588234,360.0,SVM_rf
weighted avg,1.0,1.0,1.0,1437.0,0.9888507661558961,0.9888755341880341,0.9888888888888889,360.0,SVM_rf
balanced_accuracy,0.9880262597208906,,,,0.9701653582129177,,,,KNN_pca
kappa,0.9868526282365224,,,,0.9659492506255536,,,,KNN_pca
accuracy,0.988169798190675,0.988169798190675,0.988169798190675,0.988169798190675,0.9694444444444444,0.9694444444444444,0.9694444444444444,0.9694444444444444,KNN_pca
macro avg,0.9881615864659368,0.9884352089553514,0.9880262597208906,1437.0,0.9691538189855493,0.9687190197690386,0.9701653582129177,360.0,KNN_pca
weighted avg,0.9881300524035205,0.9882289387551763,0.988169798190675,1437.0,0.9692870858093541,0.9696659060814371,0.9694444444444444,360.0,KNN_pca
balanced_accuracy,0.9936044973544972,,,,0.9819701710471425,,,,KNN_rf
kappa,0.9930396229674682,,,,0.9783289188538407,,,,KNN_rf
accuracy,0.9937369519832986,0.9937369519832986,0.9937369519832986,0.9937369519832986,0.9805555555555555,0.9805555555555555,0.9805555555555555,0.9805555555555555,KNN_rf
macro avg,0.993763747019561,0.994049704127,0.9936044973544972,1437.0,0.9815702462080054,0.981487025756859,0.9819701710471425,360.0,KNN_rf
weighted avg,0.993723834817198,0.9938388252206389,0.9937369519832986,1437.0,0.9804575695542408,0.9806641316083271,0.9805555555555555,360.0,KNN_rf
balanced_accuracy,1.0,,,,0.9513220123639398,,,,XGBoost_pca
kappa,1.0,,,,0.9473548387096774,,,,XGBoost_pca
accuracy,1.0,1.0,1.0,1.0,0.9527777777777777,0.9527777777777777,0.9527777777777777,0.9527777777777777,XGBoost_pca
macro avg,1.0,1.0,1.0,1437.0,0.9522171526650934,0.9537136014280321,0.9513220123639398,360.0,XGBoost_pca
weighted avg,1.0,1.0,1.0,1437.0,0.9529091922253896,0.9536268150590086,0.9527777777777777,360.0,XGBoost_pca
balanced_accuracy,1.0,,,,0.9671468723726981,,,,XGBoost_rf
kappa,1.0,,,,0.9628463801021725,,,,XGBoost_rf
accuracy,1.0,1.0,1.0,1.0,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,XGBoost_rf
macro avg,1.0,1.0,1.0,1437.0,0.9669697989337538,0.9678651725942367,0.9671468723726981,360.0,XGBoost_rf
weighted avg,1.0,1.0,1.0,1437.0,0.9666334165289716,0.9676113971475218,0.9666666666666667,360.0,XGBoost_rf
