Metric,precision-train,recall-train,f1-score-train,support-train,precision-test,recall-test,f1-score-test,support-test,Model
0,1.0,1.0,1.0,145.0,0.90625,0.8787878787878788,0.8923076923076922,33.0,Decision Tree_pca
1,1.0,1.0,1.0,154.0,0.7575757575757576,0.8928571428571429,0.819672131147541,28.0,Decision Tree_pca
2,1.0,1.0,1.0,144.0,0.8181818181818182,0.8181818181818182,0.8181818181818182,33.0,Decision Tree_pca
3,1.0,1.0,1.0,149.0,0.7941176470588235,0.7941176470588235,0.7941176470588235,34.0,Decision Tree_pca
4,1.0,1.0,1.0,135.0,0.9111111111111111,0.8913043478260869,0.9010989010989011,46.0,Decision Tree_pca
5,1.0,1.0,1.0,135.0,0.8780487804878049,0.7659574468085106,0.8181818181818182,47.0,Decision Tree_pca
6,1.0,1.0,1.0,146.0,0.9411764705882353,0.9142857142857143,0.9275362318840579,35.0,Decision Tree_pca
7,1.0,1.0,1.0,145.0,0.9354838709677419,0.8529411764705882,0.8923076923076922,34.0,Decision Tree_pca
8,1.0,1.0,1.0,144.0,0.6363636363636364,0.7,0.6666666666666666,30.0,Decision Tree_pca
9,1.0,1.0,1.0,140.0,0.6590909090909091,0.725,0.6904761904761905,40.0,Decision Tree_pca
0,1.0,1.0,1.0,145.0,0.9666666666666667,0.8787878787878788,0.9206349206349207,33.0,Decision Tree_rf
1,1.0,1.0,1.0,154.0,0.8064516129032258,0.8928571428571429,0.8474576271186439,28.0,Decision Tree_rf
2,1.0,1.0,1.0,144.0,0.8571428571428571,0.7272727272727273,0.7868852459016394,33.0,Decision Tree_rf
3,1.0,1.0,1.0,149.0,0.8333333333333334,0.8823529411764706,0.8571428571428571,34.0,Decision Tree_rf
4,1.0,1.0,1.0,135.0,0.9347826086956522,0.9347826086956522,0.9347826086956522,46.0,Decision Tree_rf
5,1.0,1.0,1.0,135.0,0.9361702127659575,0.9361702127659575,0.9361702127659575,47.0,Decision Tree_rf
6,1.0,1.0,1.0,146.0,0.9444444444444444,0.9714285714285714,0.9577464788732395,35.0,Decision Tree_rf
7,1.0,1.0,1.0,145.0,0.8285714285714286,0.8529411764705882,0.8405797101449276,34.0,Decision Tree_rf
8,1.0,1.0,1.0,144.0,0.7352941176470589,0.8333333333333334,0.78125,30.0,Decision Tree_rf
9,1.0,1.0,1.0,140.0,0.8918918918918919,0.825,0.8571428571428571,40.0,Decision Tree_rf
0,1.0,1.0,1.0,145.0,0.9705882352941176,1.0,0.9850746268656716,33.0,Random Forest_pca
1,1.0,1.0,1.0,154.0,0.9333333333333333,1.0,0.9655172413793104,28.0,Random Forest_pca
2,1.0,1.0,1.0,144.0,1.0,0.9696969696969697,0.9846153846153847,33.0,Random Forest_pca
3,1.0,1.0,1.0,149.0,1.0,0.9705882352941176,0.9850746268656716,34.0,Random Forest_pca
4,1.0,1.0,1.0,135.0,1.0,1.0,1.0,46.0,Random Forest_pca
5,1.0,1.0,1.0,135.0,0.9347826086956522,0.9148936170212766,0.924731182795699,47.0,Random Forest_pca
6,1.0,1.0,1.0,146.0,0.9714285714285714,0.9714285714285714,0.9714285714285714,35.0,Random Forest_pca
7,1.0,1.0,1.0,145.0,0.9705882352941176,0.9705882352941176,0.9705882352941176,34.0,Random Forest_pca
8,1.0,1.0,1.0,144.0,1.0,0.9333333333333333,0.9655172413793104,30.0,Random Forest_pca
9,1.0,1.0,1.0,140.0,0.9047619047619048,0.95,0.9268292682926829,40.0,Random Forest_pca
0,1.0,1.0,1.0,145.0,1.0,0.9696969696969697,0.9846153846153847,33.0,Random Forest_rf
1,1.0,1.0,1.0,154.0,0.9655172413793104,1.0,0.9824561403508771,28.0,Random Forest_rf
2,1.0,1.0,1.0,144.0,1.0,1.0,1.0,33.0,Random Forest_rf
3,1.0,1.0,1.0,149.0,1.0,0.9705882352941176,0.9850746268656716,34.0,Random Forest_rf
4,1.0,1.0,1.0,135.0,0.9387755102040817,1.0,0.968421052631579,46.0,Random Forest_rf
5,1.0,1.0,1.0,135.0,0.9583333333333334,0.9787234042553191,0.968421052631579,47.0,Random Forest_rf
6,1.0,1.0,1.0,146.0,0.9714285714285714,0.9714285714285714,0.9714285714285714,35.0,Random Forest_rf
7,1.0,1.0,1.0,145.0,0.9705882352941176,0.9705882352941176,0.9705882352941176,34.0,Random Forest_rf
8,1.0,1.0,1.0,144.0,1.0,0.9666666666666667,0.983050847457627,30.0,Random Forest_rf
9,1.0,1.0,1.0,140.0,0.9736842105263158,0.925,0.9487179487179489,40.0,Random Forest_rf
0,1.0,1.0,1.0,145.0,1.0,0.9696969696969697,0.9846153846153847,33.0,Gradient Boosting_pca
1,1.0,1.0,1.0,154.0,0.9642857142857143,0.9642857142857143,0.9642857142857143,28.0,Gradient Boosting_pca
2,1.0,1.0,1.0,144.0,0.9428571428571428,1.0,0.9705882352941176,33.0,Gradient Boosting_pca
3,1.0,1.0,1.0,149.0,0.9666666666666667,0.8529411764705882,0.90625,34.0,Gradient Boosting_pca
4,1.0,1.0,1.0,135.0,0.9787234042553191,1.0,0.989247311827957,46.0,Gradient Boosting_pca
5,1.0,1.0,1.0,135.0,0.9111111111111111,0.8723404255319149,0.891304347826087,47.0,Gradient Boosting_pca
6,1.0,1.0,1.0,146.0,0.9722222222222222,1.0,0.9859154929577464,35.0,Gradient Boosting_pca
7,1.0,1.0,1.0,145.0,1.0,0.9411764705882353,0.9696969696969697,34.0,Gradient Boosting_pca
8,1.0,1.0,1.0,144.0,0.8,0.9333333333333333,0.8615384615384616,30.0,Gradient Boosting_pca
9,1.0,1.0,1.0,140.0,0.875,0.875,0.875,40.0,Gradient Boosting_pca
0,1.0,1.0,1.0,145.0,1.0,1.0,1.0,33.0,Gradient Boosting_rf
1,1.0,1.0,1.0,154.0,0.9032258064516129,1.0,0.9491525423728813,28.0,Gradient Boosting_rf
2,1.0,1.0,1.0,144.0,1.0,0.9696969696969697,0.9846153846153847,33.0,Gradient Boosting_rf
3,1.0,1.0,1.0,149.0,1.0,0.9411764705882353,0.9696969696969697,34.0,Gradient Boosting_rf
4,1.0,1.0,1.0,135.0,1.0,0.9782608695652174,0.989010989010989,46.0,Gradient Boosting_rf
5,1.0,1.0,1.0,135.0,0.9591836734693877,1.0,0.9791666666666666,47.0,Gradient Boosting_rf
6,1.0,1.0,1.0,146.0,1.0,0.9714285714285714,0.9855072463768115,35.0,Gradient Boosting_rf
7,1.0,1.0,1.0,145.0,0.9705882352941176,0.9705882352941176,0.9705882352941176,34.0,Gradient Boosting_rf
8,1.0,1.0,1.0,144.0,0.9032258064516129,0.9333333333333333,0.9180327868852459,30.0,Gradient Boosting_rf
9,1.0,1.0,1.0,140.0,0.9743589743589743,0.95,0.9620253164556962,40.0,Gradient Boosting_rf
0,1.0,1.0,1.0,145.0,1.0,1.0,1.0,33.0,SVM_pca
1,1.0,1.0,1.0,154.0,1.0,1.0,1.0,28.0,SVM_pca
2,1.0,1.0,1.0,144.0,0.9705882352941176,1.0,0.9850746268656716,33.0,SVM_pca
3,1.0,1.0,1.0,149.0,1.0,0.9705882352941176,0.9850746268656716,34.0,SVM_pca
4,1.0,1.0,1.0,135.0,1.0,1.0,1.0,46.0,SVM_pca
5,1.0,1.0,1.0,135.0,0.9787234042553191,0.9787234042553191,0.9787234042553191,47.0,SVM_pca
6,1.0,1.0,1.0,146.0,0.9722222222222222,1.0,0.9859154929577464,35.0,SVM_pca
7,1.0,1.0,1.0,145.0,0.9696969696969697,0.9411764705882353,0.955223880597015,34.0,SVM_pca
8,1.0,1.0,1.0,144.0,0.967741935483871,1.0,0.9836065573770492,30.0,SVM_pca
9,1.0,1.0,1.0,140.0,1.0,0.975,0.9873417721518987,40.0,SVM_pca
0,1.0,1.0,1.0,145.0,1.0,1.0,1.0,33.0,SVM_rf
1,1.0,1.0,1.0,154.0,1.0,1.0,1.0,28.0,SVM_rf
2,1.0,1.0,1.0,144.0,1.0,1.0,1.0,33.0,SVM_rf
3,1.0,1.0,1.0,149.0,0.9705882352941176,0.9705882352941176,0.9705882352941176,34.0,SVM_rf
4,1.0,1.0,1.0,135.0,1.0,1.0,1.0,46.0,SVM_rf
5,1.0,1.0,1.0,135.0,0.9791666666666666,1.0,0.9894736842105264,47.0,SVM_rf
6,1.0,1.0,1.0,146.0,1.0,1.0,1.0,35.0,SVM_rf
7,1.0,1.0,1.0,145.0,0.9705882352941176,0.9705882352941176,0.9705882352941176,34.0,SVM_rf
8,1.0,1.0,1.0,144.0,1.0,1.0,1.0,30.0,SVM_rf
9,1.0,1.0,1.0,140.0,0.9743589743589743,0.95,0.9620253164556962,40.0,SVM_rf
0,1.0,1.0,1.0,145.0,1.0,1.0,1.0,33.0,KNN_pca
1,0.9808917197452229,1.0,0.9903536977491961,154.0,0.9333333333333333,1.0,0.9655172413793104,28.0,KNN_pca
2,0.9863013698630136,1.0,0.993103448275862,144.0,0.9411764705882353,0.9696969696969697,0.955223880597015,33.0,KNN_pca
3,0.9733333333333334,0.9798657718120806,0.9765886287625419,149.0,0.9705882352941176,0.9705882352941176,0.9705882352941176,34.0,KNN_pca
4,1.0,0.9925925925925926,0.996282527881041,135.0,0.9787234042553191,1.0,0.989247311827957,46.0,KNN_pca
5,0.9925373134328358,0.9851851851851852,0.9888475836431226,135.0,0.9782608695652174,0.9574468085106383,0.967741935483871,47.0,KNN_pca
6,0.9931972789115646,1.0,0.9965870307167235,146.0,0.9722222222222222,1.0,0.9859154929577464,35.0,KNN_pca
7,0.9797297297297297,1.0,0.9897610921501706,145.0,1.0,0.9705882352941176,0.9850746268656716,34.0,KNN_pca
8,0.9857142857142858,0.9583333333333334,0.971830985915493,144.0,0.9655172413793104,0.9333333333333333,0.9491525423728815,30.0,KNN_pca
9,0.9926470588235294,0.9642857142857143,0.9782608695652174,140.0,0.9473684210526315,0.9,0.9230769230769231,40.0,KNN_pca
0,1.0,1.0,1.0,145.0,1.0,1.0,1.0,33.0,KNN_rf
1,0.9746835443037974,1.0,0.9871794871794872,154.0,0.9655172413793104,1.0,0.9824561403508771,28.0,KNN_rf
2,1.0,1.0,1.0,144.0,1.0,1.0,1.0,33.0,KNN_rf
3,0.9802631578947368,1.0,0.9900332225913622,149.0,0.9714285714285714,1.0,0.9855072463768115,34.0,KNN_rf
4,1.0,1.0,1.0,135.0,0.9787234042553191,1.0,0.989247311827957,46.0,KNN_rf
5,0.9925925925925926,0.9925925925925926,0.9925925925925926,135.0,0.9782608695652174,0.9574468085106383,0.967741935483871,47.0,KNN_rf
6,1.0,1.0,1.0,146.0,0.9722222222222222,1.0,0.9859154929577464,35.0,KNN_rf
7,1.0,1.0,1.0,145.0,1.0,0.9705882352941176,0.9850746268656716,34.0,KNN_rf
8,0.9929577464788732,0.9791666666666666,0.9860139860139859,144.0,1.0,0.9666666666666667,0.983050847457627,30.0,KNN_rf
9,1.0,0.9642857142857143,0.9818181818181818,140.0,0.9487179487179487,0.925,0.9367088607594937,40.0,KNN_rf
0,1.0,1.0,1.0,145.0,0.9705882352941176,1.0,0.9850746268656716,33.0,XGBoost_pca
1,1.0,1.0,1.0,154.0,0.9285714285714286,0.9285714285714286,0.9285714285714286,28.0,XGBoost_pca
2,1.0,1.0,1.0,144.0,0.9142857142857143,0.9696969696969697,0.9411764705882354,33.0,XGBoost_pca
3,1.0,1.0,1.0,149.0,1.0,0.9411764705882353,0.9696969696969697,34.0,XGBoost_pca
4,1.0,1.0,1.0,135.0,1.0,1.0,1.0,46.0,XGBoost_pca
5,1.0,1.0,1.0,135.0,0.8979591836734694,0.9361702127659575,0.9166666666666666,47.0,XGBoost_pca
6,1.0,1.0,1.0,146.0,1.0,0.9714285714285714,0.9855072463768115,35.0,XGBoost_pca
7,1.0,1.0,1.0,145.0,0.9696969696969697,0.9411764705882353,0.955223880597015,34.0,XGBoost_pca
8,1.0,1.0,1.0,144.0,0.9310344827586207,0.9,0.9152542372881356,30.0,XGBoost_pca
9,1.0,1.0,1.0,140.0,0.925,0.925,0.925,40.0,XGBoost_pca
0,1.0,1.0,1.0,145.0,1.0,0.9696969696969697,0.9846153846153847,33.0,XGBoost_rf
1,1.0,1.0,1.0,154.0,0.9333333333333333,1.0,0.9655172413793104,28.0,XGBoost_rf
2,1.0,1.0,1.0,144.0,1.0,1.0,1.0,33.0,XGBoost_rf
3,1.0,1.0,1.0,149.0,1.0,0.9117647058823529,0.9538461538461539,34.0,XGBoost_rf
4,1.0,1.0,1.0,135.0,0.9777777777777777,0.9565217391304348,0.967032967032967,46.0,XGBoost_rf
5,1.0,1.0,1.0,135.0,0.9387755102040817,0.9787234042553191,0.9583333333333333,47.0,XGBoost_rf
6,1.0,1.0,1.0,146.0,0.9444444444444444,0.9714285714285714,0.9577464788732395,35.0,XGBoost_rf
7,1.0,1.0,1.0,145.0,0.9444444444444444,1.0,0.9714285714285714,34.0,XGBoost_rf
8,1.0,1.0,1.0,144.0,0.9655172413793104,0.9333333333333333,0.9491525423728815,30.0,XGBoost_rf
9,1.0,1.0,1.0,140.0,0.9743589743589743,0.95,0.9620253164556962,40.0,XGBoost_rf
