Metric,precision-train,recall-train,f1-score-train,support-train,precision-test,recall-test,f1-score-test,support-test,Model
0,0.9477124183006536,1.0,0.9731543624161073,145.0,0.8857142857142857,0.9393939393939394,0.9117647058823529,33.0,Decision Tree_rf
1,0.9333333333333333,1.0,0.9655172413793104,154.0,0.7222222222222222,0.9285714285714286,0.8125000000000001,28.0,Decision Tree_rf
2,0.959731543624161,0.9930555555555556,0.9761092150170648,144.0,0.8387096774193549,0.7878787878787878,0.8125,33.0,Decision Tree_rf
3,0.9863945578231292,0.9731543624161074,0.9797297297297297,149.0,0.9375,0.8823529411764706,0.9090909090909091,34.0,Decision Tree_rf
4,0.9632352941176471,0.9703703703703703,0.9667896678966789,135.0,0.851063829787234,0.8695652173913043,0.8602150537634409,46.0,Decision Tree_rf
5,0.9774436090225563,0.9629629629629629,0.9701492537313433,135.0,0.9555555555555556,0.9148936170212766,0.9347826086956522,47.0,Decision Tree_rf
6,1.0,0.958904109589041,0.9790209790209791,146.0,0.9696969696969697,0.9142857142857143,0.9411764705882354,35.0,Decision Tree_rf
7,0.9928571428571429,0.9586206896551724,0.9754385964912282,145.0,0.8484848484848485,0.8235294117647058,0.8358208955223881,34.0,Decision Tree_rf
8,0.9788732394366197,0.9652777777777778,0.972027972027972,144.0,0.8,0.8,0.8000000000000002,30.0,Decision Tree_rf
9,1.0,0.9428571428571428,0.9705882352941176,140.0,0.9210526315789473,0.875,0.8974358974358975,40.0,Decision Tree_rf
0,1.0,1.0,1.0,145.0,1.0,0.9696969696969697,0.9846153846153847,33.0,Random Forest_rf
1,1.0,1.0,1.0,154.0,0.9655172413793104,1.0,0.9824561403508771,28.0,Random Forest_rf
2,1.0,1.0,1.0,144.0,1.0,1.0,1.0,33.0,Random Forest_rf
3,1.0,1.0,1.0,149.0,1.0,0.9705882352941176,0.9850746268656716,34.0,Random Forest_rf
4,1.0,1.0,1.0,135.0,0.9574468085106383,0.9782608695652174,0.967741935483871,46.0,Random Forest_rf
5,1.0,1.0,1.0,135.0,0.9787234042553191,0.9787234042553191,0.9787234042553191,47.0,Random Forest_rf
6,1.0,1.0,1.0,146.0,0.9714285714285714,0.9714285714285714,0.9714285714285714,35.0,Random Forest_rf
7,1.0,1.0,1.0,145.0,0.9166666666666666,0.9705882352941176,0.9428571428571428,34.0,Random Forest_rf
8,1.0,1.0,1.0,144.0,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0,Random Forest_rf
9,1.0,1.0,1.0,140.0,0.9736842105263158,0.925,0.9487179487179489,40.0,Random Forest_rf
0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,33.0,Gradient Boosting_pca
1,0.2980769230769231,0.2012987012987013,0.24031007751937986,154.0,0.2,0.21428571428571427,0.20689655172413796,28.0,Gradient Boosting_pca
2,0.15151515151515152,0.10416666666666667,0.1234567901234568,144.0,0.0625,0.030303030303030304,0.04081632653061225,33.0,Gradient Boosting_pca
3,0.047619047619047616,0.06040268456375839,0.05325443786982249,149.0,0.023255813953488372,0.029411764705882353,0.025974025974025976,34.0,Gradient Boosting_pca
4,0.00684931506849315,0.007407407407407408,0.0071174377224199285,135.0,0.02631578947368421,0.021739130434782608,0.02380952380952381,46.0,Gradient Boosting_pca
5,0.07960199004975124,0.11851851851851852,0.09523809523809523,135.0,0.08333333333333333,0.10638297872340426,0.09345794392523364,47.0,Gradient Boosting_pca
