Metric,precision-train,recall-train,f1-score-train,support-train,precision-test,recall-test,f1-score-test,support-test,Model
balanced_accuracy,,,0.92,,,,0.79,,Decision Tree_rfe
kappa,,,0.9,,,,0.67,,Decision Tree_rfe
auc_pr_macro,,,0.98,,,,0.77,,Decision Tree_rfe
accuracy,0.92,0.92,0.92,0.92,0.78,0.78,0.78,0.78,Decision Tree_rfe
macro avg,0.92,0.92,0.92,12765.0,0.73,0.79,0.76,1098.0,Decision Tree_rfe
weighted avg,0.92,0.92,0.92,12765.0,0.8,0.78,0.79,1098.0,Decision Tree_rfe
balanced_accuracy,,,0.91,,,,0.71,,Decision Tree_pca
kappa,,,0.89,,,,0.57,,Decision Tree_pca
auc_pr_macro,,,0.97,,,,0.67,,Decision Tree_pca
accuracy,0.91,0.91,0.91,0.91,0.71,0.71,0.71,0.71,Decision Tree_pca
macro avg,0.91,0.91,0.91,12765.0,0.65,0.71,0.67,1098.0,Decision Tree_pca
weighted avg,0.91,0.91,0.91,12765.0,0.73,0.71,0.71,1098.0,Decision Tree_pca
