Metric,f1-score-train,precision-train,recall-train,support-train,f1-score-test,precision-test,recall-test,support-test,Model
balanced_accuracy,1.0,,,,0.97,,,,Logistic Regression_pca
kappa,1.0,,,,0.97,,,,Logistic Regression_pca
auc_pr_macro,1.0,,,,1.0,,,,Logistic Regression_pca
accuracy,1.0,1.0,1.0,1.0,0.97,0.97,0.97,0.97,Logistic Regression_pca
macro avg,1.0,1.0,1.0,1437.0,0.97,0.97,0.97,360.0,Logistic Regression_pca
weighted avg,1.0,1.0,1.0,1437.0,0.97,0.97,0.97,360.0,Logistic Regression_pca
balanced_accuracy,1.0,,,,0.96,,,,Random Forest_pca
kappa,1.0,,,,0.96,,,,Random Forest_pca
auc_pr_macro,1.0,,,,0.99,,,,Random Forest_pca
accuracy,1.0,1.0,1.0,1.0,0.96,0.96,0.96,0.96,Random Forest_pca
macro avg,1.0,1.0,1.0,1437.0,0.96,0.96,0.96,360.0,Random Forest_pca
weighted avg,1.0,1.0,1.0,1437.0,0.96,0.96,0.96,360.0,Random Forest_pca
