Metric,f1-score-train,precision-train,recall-train,support-train,f1-score-test,precision-test,recall-test,support-test,Model
balanced_accuracy,1.0,,,,0.97,,,,Logistic Regression_pca
kappa,1.0,,,,0.97,,,,Logistic Regression_pca
auc_pr_macro,1.0,,,,1.0,,,,Logistic Regression_pca
accuracy,1.0,1.0,1.0,1.0,0.97,0.97,0.97,0.97,Logistic Regression_pca
macro avg,1.0,1.0,1.0,1437.0,0.97,0.97,0.97,360.0,Logistic Regression_pca
weighted avg,1.0,1.0,1.0,1437.0,0.97,0.97,0.97,360.0,Logistic Regression_pca
balanced_accuracy,1.0,,,,0.97,,,,Logistic Regression_rfe
kappa,1.0,,,,0.97,,,,Logistic Regression_rfe
auc_pr_macro,1.0,,,,1.0,,,,Logistic Regression_rfe
accuracy,1.0,1.0,1.0,1.0,0.97,0.97,0.97,0.97,Logistic Regression_rfe
macro avg,1.0,1.0,1.0,1437.0,0.97,0.97,0.97,360.0,Logistic Regression_rfe
weighted avg,1.0,1.0,1.0,1437.0,0.97,0.97,0.97,360.0,Logistic Regression_rfe
balanced_accuracy,1.0,,,,0.97,,,,Random Forest_pca
kappa,1.0,,,,0.96,,,,Random Forest_pca
auc_pr_macro,1.0,,,,0.99,,,,Random Forest_pca
accuracy,1.0,1.0,1.0,1.0,0.97,0.97,0.97,0.97,Random Forest_pca
macro avg,1.0,1.0,1.0,1437.0,0.97,0.97,0.97,360.0,Random Forest_pca
weighted avg,1.0,1.0,1.0,1437.0,0.97,0.97,0.97,360.0,Random Forest_pca
balanced_accuracy,1.0,,,,0.97,,,,Random Forest_rfe
kappa,1.0,,,,0.97,,,,Random Forest_rfe
auc_pr_macro,1.0,,,,1.0,,,,Random Forest_rfe
accuracy,1.0,1.0,1.0,1.0,0.98,0.98,0.98,0.98,Random Forest_rfe
macro avg,1.0,1.0,1.0,1437.0,0.98,0.98,0.97,360.0,Random Forest_rfe
weighted avg,1.0,1.0,1.0,1437.0,0.98,0.98,0.98,360.0,Random Forest_rfe
