Metric,precision-train,recall-train,f1-score-train,support-train,precision-test,recall-test,f1-score-test,support-test,Model
0,1.0,1.0,1.0,145.0,1.0,1.0,1.0,33.0,Logistic Regression_pca
1,0.99,1.0,1.0,154.0,0.97,1.0,0.98,28.0,Logistic Regression_pca
2,1.0,1.0,1.0,144.0,1.0,1.0,1.0,33.0,Logistic Regression_pca
3,1.0,1.0,1.0,149.0,0.97,0.97,0.97,34.0,Logistic Regression_pca
4,1.0,1.0,1.0,135.0,1.0,0.98,0.99,46.0,Logistic Regression_pca
5,1.0,1.0,1.0,135.0,0.92,0.94,0.93,47.0,Logistic Regression_pca
6,1.0,1.0,1.0,146.0,0.97,0.97,0.97,35.0,Logistic Regression_pca
7,1.0,1.0,1.0,145.0,1.0,0.97,0.99,34.0,Logistic Regression_pca
8,0.99,0.99,0.99,144.0,0.97,0.97,0.97,30.0,Logistic Regression_pca
9,1.0,0.99,1.0,140.0,0.95,0.95,0.95,40.0,Logistic Regression_pca
0,1.0,1.0,1.0,145.0,1.0,1.0,1.0,33.0,Logistic Regression_rfe
1,0.99,1.0,1.0,154.0,0.97,1.0,0.98,28.0,Logistic Regression_rfe
2,1.0,1.0,1.0,144.0,1.0,1.0,1.0,33.0,Logistic Regression_rfe
3,1.0,1.0,1.0,149.0,0.97,0.97,0.97,34.0,Logistic Regression_rfe
4,1.0,1.0,1.0,135.0,1.0,0.98,0.99,46.0,Logistic Regression_rfe
5,1.0,1.0,1.0,135.0,0.94,0.94,0.94,47.0,Logistic Regression_rfe
6,1.0,1.0,1.0,146.0,0.97,0.97,0.97,35.0,Logistic Regression_rfe
7,1.0,1.0,1.0,145.0,1.0,0.97,0.99,34.0,Logistic Regression_rfe
8,0.99,0.99,0.99,144.0,0.97,0.97,0.97,30.0,Logistic Regression_rfe
9,1.0,0.99,1.0,140.0,0.93,0.95,0.94,40.0,Logistic Regression_rfe
0,1.0,1.0,1.0,145.0,0.97,1.0,0.99,33.0,Random Forest_pca
1,1.0,1.0,1.0,154.0,1.0,1.0,1.0,28.0,Random Forest_pca
2,1.0,1.0,1.0,144.0,0.94,1.0,0.97,33.0,Random Forest_pca
3,1.0,1.0,1.0,149.0,1.0,0.94,0.97,34.0,Random Forest_pca
4,1.0,1.0,1.0,135.0,1.0,1.0,1.0,46.0,Random Forest_pca
5,1.0,1.0,1.0,135.0,0.96,0.91,0.93,47.0,Random Forest_pca
6,1.0,1.0,1.0,146.0,0.97,0.97,0.97,35.0,Random Forest_pca
7,1.0,1.0,1.0,145.0,0.97,0.97,0.97,34.0,Random Forest_pca
8,1.0,1.0,1.0,144.0,0.97,0.93,0.95,30.0,Random Forest_pca
9,1.0,1.0,1.0,140.0,0.9,0.95,0.93,40.0,Random Forest_pca
0,1.0,1.0,1.0,145.0,1.0,0.97,0.98,33.0,Random Forest_rfe
1,1.0,1.0,1.0,154.0,0.93,1.0,0.97,28.0,Random Forest_rfe
2,1.0,1.0,1.0,144.0,1.0,1.0,1.0,33.0,Random Forest_rfe
3,1.0,1.0,1.0,149.0,1.0,0.97,0.99,34.0,Random Forest_rfe
4,1.0,1.0,1.0,135.0,0.98,1.0,0.99,46.0,Random Forest_rfe
5,1.0,1.0,1.0,135.0,0.94,0.98,0.96,47.0,Random Forest_rfe
6,1.0,1.0,1.0,146.0,0.97,0.97,0.97,35.0,Random Forest_rfe
7,1.0,1.0,1.0,145.0,0.97,0.97,0.97,34.0,Random Forest_rfe
8,1.0,1.0,1.0,144.0,1.0,0.93,0.97,30.0,Random Forest_rfe
9,1.0,1.0,1.0,140.0,0.97,0.95,0.96,40.0,Random Forest_rfe
