Metric,f1-score-train,precision-train,recall-train,support-train,f1-score-test,precision-test,recall-test,support-test,Model
balanced_accuracy,0.9725202971184131,,,,0.8735471057483627,,,,Decision Tree_rf
kappa,0.9698374409052158,,,,0.8607673267326733,,,,Decision Tree_rf
accuracy,0.9728601252609603,0.9728601252609603,0.9728601252609603,0.9728601252609603,0.875,0.875,0.875,0.875,Decision Tree_rf
macro avg,0.9728525253004531,0.9739581138515243,0.9725202971184131,1437.0,0.8715286540978877,0.8730000020459417,0.8735471057483627,360.0,Decision Tree_rf
weighted avg,0.9728972088908939,0.9737226510101183,0.9728601252609603,1437.0,0.8758917336133552,0.8797034564944248,0.875,360.0,Decision Tree_rf
balanced_accuracy,1.0,,,,0.973095295220098,,,,Random Forest_rf
kappa,1.0,,,,0.9690405139274688,,,,Random Forest_rf
accuracy,1.0,1.0,1.0,1.0,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,Random Forest_rf
macro avg,1.0,1.0,1.0,1437.0,0.9728281821241452,0.9730133569433488,0.973095295220098,360.0,Random Forest_rf
weighted avg,1.0,1.0,1.0,1437.0,0.9722655743713443,0.9727529751050816,0.9722222222222222,360.0,Random Forest_rf
balanced_accuracy,0.12252418419336195,,,,0.10342654755956711,,,,Gradient Boosting_pca
kappa,0.026972037822165063,,,,-0.00024011250986188948,,,,Gradient Boosting_pca
accuracy,0.12386917188587335,0.12386917188587335,0.12386917188587335,0.12386917188587335,0.1,0.1,0.1,0.1,Gradient Boosting_pca
macro avg,0.11559686238914373,0.14783744382702707,0.12252418419336195,1437.0,0.10633398008707015,0.14977675459027762,0.10342654755956711,360.0,Gradient Boosting_pca
weighted avg,0.11744290700477723,0.15055057881978623,0.12386917188587335,1437.0,0.10455279214714584,0.14743197598718133,0.1,360.0,Gradient Boosting_pca
balanced_accuracy,1.0,,,,0.9779073544311343,,,,Gradient Boosting_rf
kappa,1.0,,,,0.9752341150065784,,,,Gradient Boosting_rf
accuracy,1.0,1.0,1.0,1.0,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,Gradient Boosting_rf
macro avg,1.0,1.0,1.0,1437.0,0.9772061567145546,0.9773056923918993,0.9779073544311343,360.0,Gradient Boosting_rf
weighted avg,1.0,1.0,1.0,1437.0,0.9777430991307057,0.9784767454235844,0.9777777777777777,360.0,Gradient Boosting_rf
balanced_accuracy,0.9859280578549251,,,,0.9631183518735893,,,,SVM_rf
kappa,0.9845324455366095,,,,0.9597550908090259,,,,SVM_rf
accuracy,0.9860821155184412,0.9860821155184412,0.9860821155184412,0.9860821155184412,0.9638888888888889,0.9638888888888889,0.9638888888888889,0.9638888888888889,SVM_rf
macro avg,0.986127057931211,0.9864045973380774,0.9859280578549251,1437.0,0.9625052391290666,0.9647408707072571,0.9631183518735893,360.0,SVM_rf
weighted avg,0.9860896603860284,0.9861764467087204,0.9860821155184412,1437.0,0.9640758536156558,0.9666098975202617,0.9638888888888889,360.0,SVM_rf
balanced_accuracy,1.0,,,,0.981136837713809,,,,KNN_rf
kappa,1.0,,,,0.978330409658446,,,,KNN_rf
accuracy,1.0,1.0,1.0,1.0,0.9805555555555555,0.9805555555555555,0.9805555555555555,0.9805555555555555,KNN_rf
macro avg,1.0,1.0,1.0,1437.0,0.9805273784442721,0.9805244996549345,0.981136837713809,360.0,KNN_rf
weighted avg,1.0,1.0,1.0,1437.0,0.9805297136430764,0.9810220650256882,0.9805555555555555,360.0,KNN_rf
balanced_accuracy,1.0,,,,0.9671931258417082,,,,XGBoost_rf
kappa,1.0,,,,0.962850214127238,,,,XGBoost_rf
accuracy,1.0,1.0,1.0,1.0,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,XGBoost_rf
macro avg,1.0,1.0,1.0,1437.0,0.9667205321268211,0.9667407024481085,0.9671931258417082,360.0,XGBoost_rf
weighted avg,1.0,1.0,1.0,1437.0,0.9667155949477464,0.9671913580246913,0.9666666666666667,360.0,XGBoost_rf
