Metric,f1-score-train,precision-train,recall-train,support-train,f1-score-test,precision-test,recall-test,support-test,Model
balanced_accuracy,1.0,,,,0.8210514914064188,,,,Decision Tree_pca
kappa,1.0,,,,0.8019376413042544,,,,Decision Tree_pca
accuracy,1.0,1.0,1.0,1.0,0.8222222222222222,0.8222222222222222,0.8222222222222222,0.8222222222222222,Decision Tree_pca
macro avg,1.0,1.0,1.0,1437.0,0.8196924729211312,0.8197083924981952,0.8210514914064188,360.0,Decision Tree_pca
weighted avg,1.0,1.0,1.0,1437.0,0.8224577281714697,0.8240119540212933,0.8222222222222222,360.0,Decision Tree_pca
balanced_accuracy,1.0,,,,0.8769932589131859,,,,Decision Tree_rf
kappa,1.0,,,,0.8638403218319666,,,,Decision Tree_rf
accuracy,1.0,1.0,1.0,1.0,0.8777777777777778,0.8777777777777778,0.8777777777777778,0.8777777777777778,Decision Tree_rf
macro avg,1.0,1.0,1.0,1437.0,0.8753023884618564,0.8747561547994904,0.8769932589131859,360.0,Decision Tree_rf
weighted avg,1.0,1.0,1.0,1437.0,0.8779187985450597,0.8791947745102245,0.8777777777777778,360.0,Decision Tree_rf
balanced_accuracy,1.0,,,,0.9702696823410214,,,,Random Forest_pca
kappa,1.0,,,,0.9659419292692996,,,,Random Forest_pca
accuracy,1.0,1.0,1.0,1.0,0.9694444444444444,0.9694444444444444,0.9694444444444444,0.9694444444444444,Random Forest_pca
macro avg,1.0,1.0,1.0,1437.0,0.9705959707391226,0.9716745828766289,0.9702696823410214,360.0,Random Forest_pca
weighted avg,1.0,1.0,1.0,1437.0,0.9694954935378514,0.9702519316905507,0.9694444444444444,360.0,Random Forest_pca
balanced_accuracy,1.0,,,,0.9722619618867645,,,,Random Forest_rf
kappa,1.0,,,,0.9690394489021905,,,,Random Forest_rf
accuracy,1.0,1.0,1.0,1.0,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,Random Forest_rf
macro avg,1.0,1.0,1.0,1437.0,0.9720800761987141,0.9723665476123289,0.9722619618867645,360.0,Random Forest_rf
weighted avg,1.0,1.0,1.0,1437.0,0.972257735712412,0.9727025155491772,0.9722222222222222,360.0,Random Forest_rf
balanced_accuracy,1.0,,,,0.9512982949466053,,,,Gradient Boosting_pca
kappa,1.0,,,,0.9442619002563264,,,,Gradient Boosting_pca
accuracy,1.0,1.0,1.0,1.0,0.95,0.95,0.95,0.95,Gradient Boosting_pca
macro avg,1.0,1.0,1.0,1437.0,0.9519480282412497,0.9536897142527657,0.9512982949466053,360.0,Gradient Boosting_pca
weighted avg,1.0,1.0,1.0,1437.0,0.9500701335796364,0.9511694599806517,0.95,360.0,Gradient Boosting_pca
balanced_accuracy,1.0,,,,0.9849001080543225,,,,Gradient Boosting_rf
kappa,1.0,,,,0.9814268639775746,,,,Gradient Boosting_rf
accuracy,1.0,1.0,1.0,1.0,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9833333333333333,Gradient Boosting_rf
macro avg,1.0,1.0,1.0,1437.0,0.9839864158400523,0.9834449653053656,0.9849001080543225,360.0,Gradient Boosting_rf
weighted avg,1.0,1.0,1.0,1437.0,0.983337239677581,0.9837138303288191,0.9833333333333333,360.0,Gradient Boosting_rf
balanced_accuracy,1.0,,,,0.986548811013767,,,,SVM_pca
kappa,1.0,,,,0.9845209225530158,,,,SVM_pca
accuracy,1.0,1.0,1.0,1.0,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9861111111111112,SVM_pca
macro avg,1.0,1.0,1.0,1437.0,0.9860960361070372,0.9858972766952501,0.986548811013767,360.0,SVM_pca
weighted avg,1.0,1.0,1.0,1437.0,0.9860736716700198,0.9862754016019355,0.9861111111111112,360.0,SVM_pca
balanced_accuracy,1.0,,,,0.9866328446272126,,,,SVM_rf
kappa,1.0,,,,0.9845197244510953,,,,SVM_rf
accuracy,1.0,1.0,1.0,1.0,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9861111111111112,SVM_rf
macro avg,1.0,1.0,1.0,1437.0,0.9865889464709351,0.9866328446272126,0.9866328446272126,360.0,SVM_rf
weighted avg,1.0,1.0,1.0,1437.0,0.9861111111111112,0.9861928104575163,0.9861111111111112,360.0,SVM_rf
balanced_accuracy,1.0,,,,0.9735878181059657,,,,KNN_pca
kappa,1.0,,,,0.9690407801723396,,,,KNN_pca
accuracy,1.0,1.0,1.0,1.0,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,KNN_pca
macro avg,1.0,1.0,1.0,1437.0,0.9730169175247567,0.9729121234675023,0.9735878181059657,360.0,KNN_pca
weighted avg,1.0,1.0,1.0,1437.0,0.9720039641854799,0.9722435714970953,0.9722222222222222,360.0,KNN_pca
balanced_accuracy,1.0,,,,0.9853035043804758,,,,KNN_rf
kappa,1.0,,,,0.9814244681034038,,,,KNN_rf
accuracy,1.0,1.0,1.0,1.0,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9833333333333333,KNN_rf
macro avg,1.0,1.0,1.0,1437.0,0.9850195474271551,0.984935301618928,0.9853035043804758,360.0,KNN_rf
weighted avg,1.0,1.0,1.0,1437.0,0.9832345213499257,0.9833461239454918,0.9833333333333333,360.0,KNN_rf
balanced_accuracy,1.0,,,,0.9462531763188835,,,,XGBoost_pca
kappa,1.0,,,,0.941167869399551,,,,XGBoost_pca
accuracy,1.0,1.0,1.0,1.0,0.9472222222222222,0.9472222222222222,0.9472222222222222,0.9472222222222222,XGBoost_pca
macro avg,1.0,1.0,1.0,1437.0,0.9467206722124727,0.948042948389693,0.9462531763188835,360.0,XGBoost_pca
weighted avg,1.0,1.0,1.0,1437.0,0.9473874613211049,0.9483520769631348,0.9472222222222222,360.0,XGBoost_pca
balanced_accuracy,1.0,,,,0.9629405728316052,,,,XGBoost_rf
kappa,1.0,,,,0.9566645457515778,,,,XGBoost_rf
accuracy,1.0,1.0,1.0,1.0,0.9611111111111111,0.9611111111111111,0.9611111111111111,0.9611111111111111,XGBoost_rf
macro avg,1.0,1.0,1.0,1437.0,0.9618964127472788,0.96190663488879,0.9629405728316052,360.0,XGBoost_rf
weighted avg,1.0,1.0,1.0,1437.0,0.9610936660499191,0.9619779344510528,0.9611111111111111,360.0,XGBoost_rf
