Metric,precision-train,recall-train,f1-score-train,support-train,precision-test,recall-test,f1-score-test,support-test,Model
0,1.0,1.0,1.0,17.0,0.92,0.63,0.75,19.0,Decision Tree
1,1.0,1.0,1.0,434.0,0.71,0.69,0.7,195.0,Decision Tree
2,1.0,1.0,1.0,637.0,0.78,0.79,0.78,270.0,Decision Tree
3,1.0,1.0,1.0,2231.0,0.87,0.88,0.88,928.0,Decision Tree
4,1.0,1.0,1.0,285.0,0.87,0.74,0.8,129.0,Decision Tree
5,1.0,1.0,1.0,263.0,0.73,0.86,0.79,117.0,Decision Tree
accuracy,,,1.0,,,,0.83,,Decision Tree
macro avg,1.0,1.0,1.0,3867.0,0.81,0.76,0.78,1658.0,Decision Tree
weighted avg,1.0,1.0,1.0,3867.0,0.83,0.83,0.83,1658.0,Decision Tree
balanced accuracy,,,1.0,,,,0.76,,Decision Tree
0,1.0,1.0,1.0,17.0,1.0,0.63,0.77,19.0,Random Forest
1,1.0,1.0,1.0,434.0,0.87,0.73,0.79,195.0,Random Forest
2,1.0,1.0,1.0,637.0,0.86,0.84,0.85,270.0,Random Forest
3,1.0,1.0,1.0,2231.0,0.9,0.94,0.92,928.0,Random Forest
4,1.0,1.0,1.0,285.0,0.88,0.88,0.88,129.0,Random Forest
5,1.0,1.0,1.0,263.0,0.84,0.89,0.86,117.0,Random Forest
accuracy,,,1.0,,,,0.89,,Random Forest
macro avg,1.0,1.0,1.0,3867.0,0.89,0.82,0.85,1658.0,Random Forest
weighted avg,1.0,1.0,1.0,3867.0,0.89,0.89,0.88,1658.0,Random Forest
balanced accuracy,,,1.0,,,,0.82,,Random Forest
0,1.0,1.0,1.0,17.0,0.75,0.47,0.58,19.0,Gradient Boosting
1,0.95,0.7,0.8,434.0,0.84,0.54,0.66,195.0,Gradient Boosting
2,0.92,0.87,0.89,637.0,0.81,0.78,0.8,270.0,Gradient Boosting
3,0.9,0.98,0.94,2231.0,0.83,0.95,0.88,928.0,Gradient Boosting
4,0.97,0.93,0.95,285.0,0.88,0.78,0.82,129.0,Gradient Boosting
5,0.94,0.84,0.89,263.0,0.77,0.58,0.66,117.0,Gradient Boosting
accuracy,,,0.91,,,,0.83,,Gradient Boosting
macro avg,0.95,0.88,0.91,3867.0,0.81,0.68,0.73,1658.0,Gradient Boosting
weighted avg,0.92,0.91,0.91,3867.0,0.83,0.83,0.82,1658.0,Gradient Boosting
balanced accuracy,,,0.88,,,,0.68,,Gradient Boosting
0,1.0,1.0,1.0,17.0,0.8,0.21,0.33,19.0,XGBoost
1,1.0,1.0,1.0,434.0,0.84,0.71,0.77,195.0,XGBoost
2,1.0,1.0,1.0,637.0,0.87,0.91,0.89,270.0,XGBoost
3,1.0,1.0,1.0,2231.0,0.91,0.94,0.92,928.0,XGBoost
4,1.0,1.0,1.0,285.0,0.88,0.88,0.88,129.0,XGBoost
5,1.0,1.0,1.0,263.0,0.81,0.85,0.83,117.0,XGBoost
accuracy,,,1.0,,,,0.89,,XGBoost
macro avg,1.0,1.0,1.0,3867.0,0.85,0.75,0.77,1658.0,XGBoost
weighted avg,1.0,1.0,1.0,3867.0,0.88,0.89,0.88,1658.0,XGBoost
balanced accuracy,,,1.0,,,,0.75,,XGBoost
