Metric;precision-train;recall-train;f1-score-train;support-train;precision-test;recall-test;f1-score-test;support-test;Model;Feature_Selection_Type;N_Features;Total_Variance_Explained
0;0,947;0,960;0,953;522,000;0,000;0,000;0,000;17,000;Logistic Regression_none;original;470;
1;0,994;0,990;0,992;522,000;0,121;0,174;0,143;23,000;Logistic Regression_none;original;470;
2;0,955;0,925;0,940;522,000;0,471;0,606;0,530;109,000;Logistic Regression_none;original;470;
3;0,992;1,000;0,996;522,000;0,056;0,050;0,053;20,000;Logistic Regression_none;original;470;
4;0,987;1,000;0,993;522,000;0,000;0,000;0,000;26,000;Logistic Regression_none;original;470;
0;0,882;0,891;0,887;522,000;0,611;0,647;0,629;17,000;Logistic Regression_pca;pca;90;0,990
1;0,916;0,944;0,930;522,000;0,324;0,478;0,386;23,000;Logistic Regression_pca;pca;90;0,990
2;0,856;0,762;0,806;522,000;0,812;0,477;0,601;109,000;Logistic Regression_pca;pca;90;0,990
3;0,974;0,998;0,986;522,000;0,121;0,350;0,179;20,000;Logistic Regression_pca;pca;90;0,990
4;0,956;0,998;0,977;522,000;0,429;0,346;0,383;26,000;Logistic Regression_pca;pca;90;0,990
0;0,798;0,831;0,814;522,000;0,054;0,118;0,074;17,000;Logistic Regression_rfe;selector;48;
1;0,863;0,908;0,885;522,000;0,209;0,609;0,311;23,000;Logistic Regression_rfe;selector;48;
2;0,717;0,579;0,641;522,000;0,217;0,092;0,129;109,000;Logistic Regression_rfe;selector;48;
3;0,929;0,933;0,931;522,000;0,026;0,050;0,034;20,000;Logistic Regression_rfe;selector;48;
4;0,888;0,973;0,929;522,000;0,167;0,038;0,062;26,000;Logistic Regression_rfe;selector;48;
0;0,945;0,954;0,949;522,000;0,000;0,000;0,000;17,000;Logistic Regression_rf;selector;235;
1;0,987;0,989;0,988;522,000;0,130;0,130;0,130;23,000;Logistic Regression_rf;selector;235;
2;0,946;0,912;0,929;522,000;0,583;0,679;0,627;109,000;Logistic Regression_rf;selector;235;
3;0,992;1,000;0,996;522,000;0,205;0,450;0,281;20,000;Logistic Regression_rf;selector;235;
4;0,983;1,000;0,991;522,000;0,000;0,000;0,000;26,000;Logistic Regression_rf;selector;235;
0;0,947;0,960;0,953;522,000;0,000;0,000;0,000;17,000;Logistic Regression_mi;selector;470;
1;0,994;0,990;0,992;522,000;0,121;0,174;0,143;23,000;Logistic Regression_mi;selector;470;
2;0,955;0,925;0,940;522,000;0,471;0,606;0,530;109,000;Logistic Regression_mi;selector;470;
3;0,992;1,000;0,996;522,000;0,056;0,050;0,053;20,000;Logistic Regression_mi;selector;470;
4;0,987;1,000;0,993;522,000;0,000;0,000;0,000;26,000;Logistic Regression_mi;selector;470;
