Metric;precision-train;recall-train;f1-score-train;support-train;precision-test;recall-test;f1-score-test;support-test;Model;Feature_Selection_Type;N_Features;Total_Variance_Explained
0;1,000;1,000;1,000;522,000;0,190;0,235;0,211;17,000;Random Forest_none;original;470;
1;1,000;1,000;1,000;522,000;0,250;0,217;0,233;23,000;Random Forest_none;original;470;
2;1,000;1,000;1,000;522,000;0,529;0,670;0,591;109,000;Random Forest_none;original;470;
3;1,000;1,000;1,000;522,000;0,000;0,000;0,000;20,000;Random Forest_none;original;470;
4;1,000;1,000;1,000;522,000;0,688;0,423;0,524;26,000;Random Forest_none;original;470;
0;1,000;1,000;1,000;522,000;0,111;0,059;0,077;17,000;Random Forest_pca;pca;66;0,970
1;1,000;1,000;1,000;522,000;0,500;0,261;0,343;23,000;Random Forest_pca;pca;66;0,970
2;1,000;1,000;1,000;522,000;0,581;0,890;0,703;109,000;Random Forest_pca;pca;66;0,970
3;1,000;1,000;1,000;522,000;0,000;0,000;0,000;20,000;Random Forest_pca;pca;66;0,970
4;1,000;1,000;1,000;522,000;0,400;0,077;0,129;26,000;Random Forest_pca;pca;66;0,970
0;1,000;1,000;1,000;522,000;0,000;0,000;0,000;17,000;Random Forest_rfe;selector;24;
1;1,000;1,000;1,000;522,000;0,290;0,391;0,333;23,000;Random Forest_rfe;selector;24;
2;1,000;1,000;1,000;522,000;0,583;0,550;0,566;109,000;Random Forest_rfe;selector;24;
3;1,000;1,000;1,000;522,000;0,154;0,200;0,174;20,000;Random Forest_rfe;selector;24;
4;1,000;1,000;1,000;522,000;0,733;0,423;0,537;26,000;Random Forest_rfe;selector;24;
0;1,000;1,000;1,000;522,000;0,062;0,059;0,061;17,000;Random Forest_rf;selector;105;
1;1,000;1,000;1,000;522,000;0,400;0,348;0,372;23,000;Random Forest_rf;selector;105;
2;1,000;1,000;1,000;522,000;0,583;0,706;0,639;109,000;Random Forest_rf;selector;105;
3;1,000;1,000;1,000;522,000;0,000;0,000;0,000;20,000;Random Forest_rf;selector;105;
4;1,000;1,000;1,000;522,000;0,647;0,423;0,512;26,000;Random Forest_rf;selector;105;
0;0,987;0,987;0,987;522,000;0,000;0,000;0,000;17,000;Random Forest_mi;selector;470;
1;1,000;0,992;0,996;522,000;0,241;0,304;0,269;23,000;Random Forest_mi;selector;470;
2;0,977;0,983;0,980;522,000;0,511;0,642;0,569;109,000;Random Forest_mi;selector;470;
3;0,994;0,998;0,996;522,000;0,000;0,000;0,000;20,000;Random Forest_mi;selector;470;
4;0,998;0,996;0,997;522,000;0,688;0,423;0,524;26,000;Random Forest_mi;selector;470;
