model;train_metrics;test_metrics
Logistic Regression_none;{'precision': 0.947069943289225, 'recall': 0.9597701149425287, 'f1-score': 0.9533777354900095, 'support': 522.0};{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 17.0}
Logistic Regression_none;{'precision': 0.9942307692307693, 'recall': 0.9904214559386973, 'f1-score': 0.9923224568138196, 'support': 522.0};{'precision': 0.12121212121212122, 'recall': 0.17391304347826086, 'f1-score': 0.14285714285714285, 'support': 23.0}
Logistic Regression_none;{'precision': 0.9545454545454546, 'recall': 0.9252873563218391, 'f1-score': 0.9396887159533074, 'support': 522.0};{'precision': 0.4714285714285714, 'recall': 0.6055045871559633, 'f1-score': 0.5301204819277109, 'support': 109.0}
Logistic Regression_none;{'precision': 0.9923954372623575, 'recall': 1.0, 'f1-score': 0.9961832061068703, 'support': 522.0};{'precision': 0.05555555555555555, 'recall': 0.05, 'f1-score': 0.05263157894736842, 'support': 20.0}
Logistic Regression_none;{'precision': 0.9867674858223062, 'recall': 1.0, 'f1-score': 0.9933396764985728, 'support': 522.0};{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 26.0}
Logistic Regression_pca;{'precision': 0.8823529411764706, 'recall': 0.8908045977011494, 'f1-score': 0.886558627264061, 'support': 522.0};{'precision': 0.6111111111111112, 'recall': 0.6470588235294118, 'f1-score': 0.6285714285714286, 'support': 17.0}
Logistic Regression_pca;{'precision': 0.9163568773234201, 'recall': 0.9444444444444444, 'f1-score': 0.930188679245283, 'support': 522.0};{'precision': 0.3235294117647059, 'recall': 0.4782608695652174, 'f1-score': 0.38596491228070173, 'support': 23.0}
Logistic Regression_pca;{'precision': 0.8559139784946237, 'recall': 0.7624521072796935, 'f1-score': 0.806484295845998, 'support': 522.0};{'precision': 0.8125, 'recall': 0.47706422018348627, 'f1-score': 0.6011560693641619, 'support': 109.0}
Logistic Regression_pca;{'precision': 0.9738317757009346, 'recall': 0.9980842911877394, 'f1-score': 0.9858088930936613, 'support': 522.0};{'precision': 0.1206896551724138, 'recall': 0.35, 'f1-score': 0.1794871794871795, 'support': 20.0}
Logistic Regression_pca;{'precision': 0.9559633027522936, 'recall': 0.9980842911877394, 'f1-score': 0.9765698219306467, 'support': 522.0};{'precision': 0.42857142857142855, 'recall': 0.34615384615384615, 'f1-score': 0.3829787234042553, 'support': 26.0}
Logistic Regression_rfe;{'precision': 0.7977941176470589, 'recall': 0.8314176245210728, 'f1-score': 0.8142589118198874, 'support': 522.0};{'precision': 0.05405405405405406, 'recall': 0.11764705882352941, 'f1-score': 0.07407407407407407, 'support': 17.0}
Logistic Regression_rfe;{'precision': 0.8633879781420765, 'recall': 0.9080459770114943, 'f1-score': 0.8851540616246498, 'support': 522.0};{'precision': 0.208955223880597, 'recall': 0.6086956521739131, 'f1-score': 0.3111111111111111, 'support': 23.0}
Logistic Regression_rfe;{'precision': 0.7173396674584323, 'recall': 0.578544061302682, 'f1-score': 0.6405090137857901, 'support': 522.0};{'precision': 0.21739130434782608, 'recall': 0.09174311926605505, 'f1-score': 0.12903225806451613, 'support': 109.0}
Logistic Regression_rfe;{'precision': 0.9293893129770993, 'recall': 0.9329501915708812, 'f1-score': 0.9311663479923518, 'support': 522.0};{'precision': 0.02564102564102564, 'recall': 0.05, 'f1-score': 0.03389830508474576, 'support': 20.0}
Logistic Regression_rfe;{'precision': 0.8881118881118881, 'recall': 0.9731800766283525, 'f1-score': 0.9287020109689214, 'support': 522.0};{'precision': 0.16666666666666666, 'recall': 0.038461538461538464, 'f1-score': 0.0625, 'support': 26.0}
Logistic Regression_rf;{'precision': 0.9449715370018975, 'recall': 0.9540229885057471, 'f1-score': 0.9494756911344138, 'support': 522.0};{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 17.0}
Logistic Regression_rf;{'precision': 0.9866156787762906, 'recall': 0.9885057471264368, 'f1-score': 0.9875598086124402, 'support': 522.0};{'precision': 0.13043478260869565, 'recall': 0.13043478260869565, 'f1-score': 0.13043478260869565, 'support': 23.0}
Logistic Regression_rf;{'precision': 0.9463220675944334, 'recall': 0.9118773946360154, 'f1-score': 0.9287804878048781, 'support': 522.0};{'precision': 0.5826771653543307, 'recall': 0.6788990825688074, 'f1-score': 0.6271186440677966, 'support': 109.0}
Logistic Regression_rf;{'precision': 0.9923954372623575, 'recall': 1.0, 'f1-score': 0.9961832061068703, 'support': 522.0};{'precision': 0.20454545454545456, 'recall': 0.45, 'f1-score': 0.28125, 'support': 20.0}
Logistic Regression_rf;{'precision': 0.9830508474576272, 'recall': 1.0, 'f1-score': 0.9914529914529915, 'support': 522.0};{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 26.0}
Logistic Regression_mi;{'precision': 0.947069943289225, 'recall': 0.9597701149425287, 'f1-score': 0.9533777354900095, 'support': 522.0};{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 17.0}
Logistic Regression_mi;{'precision': 0.9942307692307693, 'recall': 0.9904214559386973, 'f1-score': 0.9923224568138196, 'support': 522.0};{'precision': 0.12121212121212122, 'recall': 0.17391304347826086, 'f1-score': 0.14285714285714285, 'support': 23.0}
Logistic Regression_mi;{'precision': 0.9545454545454546, 'recall': 0.9252873563218391, 'f1-score': 0.9396887159533074, 'support': 522.0};{'precision': 0.4714285714285714, 'recall': 0.6055045871559633, 'f1-score': 0.5301204819277109, 'support': 109.0}
Logistic Regression_mi;{'precision': 0.9923954372623575, 'recall': 1.0, 'f1-score': 0.9961832061068703, 'support': 522.0};{'precision': 0.05555555555555555, 'recall': 0.05, 'f1-score': 0.05263157894736842, 'support': 20.0}
Logistic Regression_mi;{'precision': 0.9867674858223062, 'recall': 1.0, 'f1-score': 0.9933396764985728, 'support': 522.0};{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 26.0}
